task_id,task_name,shuffled_description1,shuffled_description2,shuffled_description3,shuffled_description4,shuffled_description5,answer
31,1e0a9b12,"To make the output, you have to...think of the grid as a bright field and as the colored squares as being objects floating in space. Gravity is permanently turned off and all of the block remain in place. That produces the correct output grid.","To make the output, you have to...think of the grid as a gray field and as the colored squares as being objects floating in space. Gravity is gradually turned on and all of the block ascend to the top. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and as the colored squares as being objects floating in space. Gravity is suddenly turned on and all of the block fall vertically to the bottom. That produces the correct output grid.","To make the output, you have to...think of the grid as a white field and as the colored squares as being objects floating in space. Gravity is suddenly turned off and all of the block float upwards to the top. That produces the correct output grid.","To make the output, you have to...think of the grid as a light field and as the colored squares as being objects floating in space. Gravity is never turned on and all of the block stay in place. That produces the correct output grid.",3
86,3c9b0459,"To make the output, you have to...rotate the grid 180 degrees clockwise.","To make the output, you have to...move the grid to the top-right corner.","To make the output, you have to...rotate the grid 90 degrees counterclockwise.","To make the output, you have to...flip the grid horizontally.","To make the output, you have to...remove every block from the grid.",1
13,0b148d64,"To make the output, you have to...ignore the colored sections and copy only the blank parts into the output grid.","To make the output, you have to...identify two sections that are colored exactly the same and copy them into the output grid.","To make the output, you have to...combine all sections that are colored in the same way and copy them into the output grid.","To make the output, you have to...distinguish between four sections colored in random patterns, and among these, identify the one section that is colored differently. Afterward, copy only the differently colored section into the output grid.","To make the output, you have to...copy the whole grid including all the colors and patterns into the output grid.",4
96,42a50994,"To make the output, you have to...copy the input grid, identify which pixels are isolated or solitary and change foreground colors of single pixels to the foreground color or white.","To make the output, you have to...copy the input grid, identify which pixels are detached or apart and change background colors of single pixels to the foreground color or white.","To make the output, you have to...copy the input grid, identify which pixels are disconnected or separated from any other, and change background colors of connected group pixels to the foreground color or white.","To make the output, you have to...copy the input grid, identify which pixels are connected or touching any other and change background colors of single pixels to the background color or black.","To make the output, you have to...copy the input grid, identify which pixels are connected or clustering, and change foreground colors of single pixels to the foreground color or white.",4
67,31aa019c,"To make the output, you have to...make the entire output grid black. then find the block in the input grid that is the only one of that color and place it in the same position in the output grid. Then surround that block with blocks of the bright red-orange color.","To make the output, you have to...make the entire output grid red, then find the block in the input grid that is one of several colors and place it in the bottom-right position in the output grid. Then surround that block with blocks of the yellow color.","To make the output, you have to...make the entire output grid white, then find the block in the input grid that is the only one of that color and place it in the same position in the output grid. Then surround that block with blocks of the dark blue color.","To make the output, you have to...make the entire output grid blue, then find the block in the input grid that is the one of many colors and place it in the top-left position in the output grid. Then surround that block with blocks of the light pink color.","To make the output, you have to...make the entire output grid gray, then find the block in the input grid that is the only one of that color and place it in a different place in the output grid. Then surround that block with blocks of the green color.",1
145,662c240a,"To make the output, you have to...replicate a non-diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are vertically connected in.","To make the output, you have to...remove the entire grid and replace it with a single black pixel.","To make the output, you have to...reverse a diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 four-color 3x3 grids, which are horizontally connected in.","To make the output, you have to...destroy the original grid and draw an entirely new 9x9 grid without any specific pattern.","To make the output, you have to...create a randomly organized 3x3 grid from a 9x3 grid. It is composed with 3 five-color 3x3 grids, which are diagonally connected in.",1
234,995c5fa3,"To make the output, you have to...Confuse the shapes of three objects from the input grid and alter their corresponding colors. A 4x4 square is purple, an object with a center hole is deep orange, an object indented on right and left sides is blue, and an object indented at the bottom is pink. Color each object randomly in the input grid, filling the 3x3 output grid randomly.","To make the output, you have to...Identify the shapes of three objects from the input grid and determine their corresponding colors. A 4x4 square is red, an object with a center hole is light blue, an object indented on right and left sides is green, and an object indented at the bottom is yellow. Color each object from left to right in the input grid, filling the 3x3 output grid row by row from the top.","To make the output, you have to...Identify the shapes of three objects from the input grid and determine their incorrect colors. A 4x4 square is blue, an object with a center hole is dark green, an object indented on right and left sides is pink, and an object indented at the bottom is orange. Color each object randomly in the input grid, filling the 3x3 output grid row by row from the bottom.","To make the output, you have to...Discard the shapes of three objects from the input grid and ignore their corresponding colors. A 3x3 square is yellow, an object with a hole at the center is deep green, a shape indented on the top is brown, and an object indented on all sides is white. Paint the objects randomly in the input grid, filling the 3x3 output grid column by column from the top.","To make the output, you have to...Identify the shapes of three objects from the input grid and determine their corresponding colors. A 4x4 square is red, an object with a center hole is light blue, an object indented on right and left sides is green, and an object indented at the bottom is yellow. Color each object from left to right in the input grid, filling the 3x3 output grid row by row from the top.",2
307,c8cbb738,"To make the output, you have to...combine groups of pixels of different colors while maintaining their shapes around a common center. The colors from the input grid must remain unchanged.","To make the output, you have to...combine groups of pixels of different colors while changing their shapes completely. The colors from the input grid must remain unchanged.","To make the output, you have to...invert colors of groups of pixels while maintaining their shapes in their original positions. The colors from the input grid must remain unchanged.","To make the output, you have to...separate groups of pixels of different colors and disperse them across the grid randomly. The colors from the input grid must remain unchanged.","To make the output, you have to...combine groups of pixels of different colors by swapping their positions with each other. The colors from the input grid must remain unchanged.",1
273,b0c4d837,"To make the output, you have to...determine the number of gray pixels present in the input grid and rearrange them into a diagonal line from the top-left to bottom-right of the output grid.","To make the output, you have to...calculate the inside height of the U shape made of gray pixels. Subtract the height filled with light blue pixels from the original height of the U. Fill the 3x3 output grid with this difference in light blue pixels, starting from left to right on the top row, and right to left on the following rows.","To make the output, you have to...measure the distance between the top and bottom edges of the grid, multiply it with the number of gray pixels, and place this number of light blue pixels in the center of the output grid.","To make the output, you have to...calculate the total width of the grid and add this to the total height. Color the entire output grid with light blue pixels.","To make the output, you have to...count the number of gray pixels surrounding the U shape and subtract this from the total blue pixels. Place the remaining blue pixels randomly in the output grid.",2
331,d406998b,"To make the output, you have to...start from the left-most row and change the grey pixels in the even-numbered rows with green.","To make the output, you have to...start from the right-most column and change the green pixels in the odd-numbered columns with grey.","To make the output, you have to...begin from the right-most column and change the grey pixels in the odd-numbered columns with green.","To make the output, you have to...begin from the left-most column and remove the grey pixels in the odd-numbered columns.","To make the output, you have to...begin from the right-most column and change the grey pixels in the odd-numbered columns with red.",3
