task_id,task_name,shuffled_description1,shuffled_description2,shuffled_description3,shuffled_description4,shuffled_description5,answer
31,1e0a9b12,"To make the output, you have to...think of the grid as a black field and as the colored circles as being objects floating in space. Gravity is suddenly turned on and all of the block rise vertically to the top. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and as the colored squares as being things falling in air. Gravity is suddenly turned off and all of the block float horizontally to the left. That produces the correct output grid.","To make the output, you have to...think of the grid as a white field and as the colored squares as being objects floating in space. Gravity is suddenly turned on and all of the block rise vertically to the top. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and as the colored squares as being objects floating in space. Gravity is suddenly turned on and all of the block fall vertically to the bottom. That produces the correct output grid.","To make the output, you have to...think of the grid as a black space and as the colored squares as being objects falling in water. Gravity is suddenly turned on and all of the block rise vertically to the top. That produces the correct output grid.",4
86,3c9b0459,"To make the output, you have to...leave the grid as it is.","To make the output, you have to...rotate the grid 180 degrees counterclockwise.","To make the output, you have to...flip the grid vertically.","To make the output, you have to...rotate the grid 180 degrees clockwise.","To make the output, you have to...flip the grid horizontally.",4
13,0b148d64,"To make the output, you have to...distinguish between four sections colored in predictable patterns, and among these, identify the one section that is colored similarly. Afterward, copy all the similarly colored sections into the output grid.","To make the output, you have to...distinguish between four sections colored in random patterns, and among these, identify the one section that is colored differently. Afterward, copy only the differently colored section into the output grid.","To make the output, you have to...view four sections colored in random patterns, and among these, identify the one section that is left untouched. Afterward, replicate the untouched section to the output grid.","To make the output, you have to...combine four sections colored in random patterns, and among these, identify the two sections that are colored differently. Afterward, copy the other differently colored sections into the output grid.","To make the output, you have to...compare four sections colored in regular patterns, and among these, identify the one section that is colored similarly. Afterward, copy only the similarly colored section into the output grid.",2
96,42a50994,"To make the output, you have to...copy the input grid, identify which pixels are connected or touching any other and change background colors of single pixels to the background color or black.","To make the output, you have to...erase the input grid, ignore which pixels are connected or touching any other, and keep background colors of single pixels the same.","To make the output, you have to...copy a new input grid, find which pixels are disconnected or not touching any other, and change background colors of connected pixels to white.","To make the output, you have to...do not copy the input grid, disregard which pixels are connected or touching any other, and change background colors of single pixels to different colors.","To make the output, you have to...clear the input grid, note which pixels are not connected or not touching any other and leave background colors of single pixels unchanged.",1
67,31aa019c,"To make the output, you have to...make the entire output grid pink. then find the block in the input grid that is the only one of that size and place it in the opposite position in the input grid. Then surround that block with blocks of the light brown color.","To make the output, you have to...make the entire output grid gray. then find the block in the input grid that is the only one of that shape and place it in the same position in the input grid. Then surround that block with blocks of the dark green color.","To make the output, you have to...make the entire output grid black. then find the block in the input grid that is the only one of that color and place it in the same position in the output grid. Then surround that block with blocks of the bright red-orange color.","To make the output, you have to...make the entire output grid blue. then find the block in the input grid that is not unique in color and place it in a random position in the output grid. Then surround that block with blocks of the light yellow color.","To make the output, you have to...make the entire output grid white. then find the block in the input grid that is the only one of that color and place it in the opposite position in the output grid. Then remove surrounding blocks of the bright red-orange color.",3
145,662c240a,"To make the output, you have to...replicate a non-diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are vertically connected in.","To make the output, you have to...create a diagonally symmetrical 3x3 grid from a 6x3 grid. It is composed with 2 different-color 3x3 grids, which are vertically connected out.","To make the output, you have to...invert a horizontally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 multi-color 3x3 grids, which are horizontally connected out.","To make the output, you have to...distort a diagonally asymmetrical 3x3 grid from a 9x3 grid. It is composed with 3 one-color 3x3 grids, which are horizontally connected out.","To make the output, you have to...ignore a diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 three-color 3x3 grids, which are vertically disconnected out.",1
234,995c5fa3,"To make the output, you have to...Identify the shapes of three objects from the output grid and determine their corresponding colors. A 4x4 square is gray, an object with a center hole is yellow, an object indented on right and left sides is black, and an object indented at the bottom is pink. Color each object from left to right in the output grid, filling the 3x3 input grid row by row from the top.","To make the output, you have to...Identify the shapes of three objects from the input grid and determine their corresponding patterns. A 4x4 square is pink, an object with a center stripe is light blue, an object indented on right and left sides is brown, and an object indented at the top is green. Color each object from right to left in the input grid, filling the 3x3 output grid row by row from the top.","To make the output, you have to...Identify the shapes of three objects from the input grid and determine their mismatched colors. A 4x4 square is blue, an object with a center hole is yellow, an object indented on right and left sides is gray, and an object indented at the bottom is brown. Color each object from right to left in the input grid, filling the 3x3 output grid row by row from the bottom.","To make the output, you have to...Identify the shapes of three objects from the input grid and determine their corresponding colors. A 4x4 square is red, an object with a center hole is light blue, an object indented on right and left sides is green, and an object indented at the bottom is yellow. Color each object from left to right in the input grid, filling the 3x3 output grid row by row from the top.","To make the output, you have to...Identify the shapes of four objects from the input grid and determine their corresponding colors. A 4x4 diamond is green, an object with a center hole is red, an object indented on right and left sides is black, and an object indented at the top is blue. Color each object from left to bottom in the input grid, filling the 3x3 output grid column by column from the left.",4
307,c8cbb738,"To make the output, you have to...separate groups of pixels of different colors and change their shapes around a common center. The colors from the input grid must be changed.","To make the output, you have to...combine groups of pixels of different colors while maintaining their shapes around a common center. The colors from the input grid must remain unchanged.","To make the output, you have to...isolate each pixel individually and place them at the edges of the grid. The positions from the input grid must remain the same.","To make the output, you have to...shuffle groups of pixels of different colors randomly without maintaining their shapes. The colors from the input grid must be mixed.","To make the output, you have to...remove all groups of pixels of different colors and leave the grid empty. The shapes from the input grid must remain unchanged.",2
273,b0c4d837,"To make the output, you have to...estimate the perimeter of pixels from the gray U. Subtract the light blue width from the U perimeter. Fill the 3x3 output grid with the difference in gray pixels, starting from the right bottom corner, going clockwise.","To make the output, you have to...calculate the inside height of the U shape made of gray pixels. Subtract the height filled with light blue pixels from the original height of the U. Fill the 3x3 output grid with this difference in light blue pixels, starting from left to right on the top row, and right to left on the following rows.","To make the output, you have to...calculate the inside width of the U shape made of gray pixels. Subtract the width filled with pink pixels from the original width of the U. Fill the 3x3 output grid with this difference in pink pixels, starting from left to right on the bottom row, and right to left on the following rows.","To make the output, you have to...ignore the height of the U shape made of gray pixels. Subtract the width filled with light blue pixels from the original width of the U. Fill the 3x3 output grid with this difference in yellow pixels, starting from right to left on the top row, and left to right on the following rows.","To make the output, you have to...calculate the inside width of the U shape made of red pixels. Subtract the width filled with green pixels from the original width of the U. Fill the 3x3 output grid with this difference in red pixels, starting from right to left on the bottom row, and left to right on the following rows.",2
331,d406998b,"To make the output, you have to...begin from the right-most row and change the grey pixels in the even-numbered columns with blue.","To make the output, you have to...begin from the bottom row and change the grey pixels in the odd-numbered rows with yellow.","To make the output, you have to...begin from the right-most column and change the grey pixels in the odd-numbered columns with green.","To make the output, you have to...begin from the left-most column and change the grey pixels in the odd-numbered columns with red.","To make the output, you have to...start from the top row and replace the grey pixels in the even-numbered columns with pink.",3
