task_id,task_name,shuffled_description1,shuffled_description2,shuffled_description3,shuffled_description4,shuffled_description5,answer
31,1e0a9b12,"To make the output, you have to...think of the grid as a white field and as the colored squares as being objects floating in water. Gravity is suddenly turned off and all of the blocks rise vertically to the top. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and as the colored squares as stuck in place. Keep them in their positions. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and as the colored squares as being objects floating in space. Gravity is suddenly turned on and all of the block fall vertically to the bottom. That produces the correct output grid.","To make the output, you have to...think of the grid as a white field and scatter the colored squares randomly. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and move the colored squares horizontally to the sides. That produces the correct output grid.",3
86,3c9b0459,"To make the output, you have to...rotate the grid 180 degrees clockwise.","To make the output, you have to...rotate the grid 90 degrees clockwise.","To make the output, you have to...flip the grid upside down.","To make the output, you have to...flip the grid horizontally.","To make the output, you have to...rotate the grid 180 degrees counterclockwise.",1
13,0b148d64,"To make the output, you have to...distinguish between four identical sections colored in the same patterns, and among these, identify the average color. Afterward, copy the average color section into the output grid.","To make the output, you have to...distinguish between four sections colored in random patterns, and among these, identify the one section that is colored differently. Afterward, copy only the differently colored section into the output grid.","To make the output, you have to...merge all four sections colored in random patterns into the output grid.","To make the output, you have to...find two sections colored in random patterns and copy both of them into the output grid.","To make the output, you have to...distinguish between two sections colored in uniform patterns, and among these, delete the one section that is colored similarly. Afterward, paste the similar section into the output grid.",2
96,42a50994,"To make the output, you have to...copy the input grid, identify which pixels are isolated and change the isolated colors to yellow.","To make the output, you have to...copy the input grid, identify which pixels are connected or touching any other and change background colors of single pixels to the background color or black.","To make the output, you have to...erase the input grid, not identify connected pixels, and change all pixels to white.","To make the output, you have to...ignore the input grid, identify which pixels are not touching others and change them to blue.","To make the output, you have to...remove the input grid, don't identify any patterns or pixels and leave the grid unchanged.",2
67,31aa019c,"To make the output, you have to...make the entire output grid gray, then ignore the blocks in the input grid and simply place a new block in the center of the output grid. Then surround that block with blocks of the yellow-orange color.","To make the output, you have to...make the entire output grid pink, then find the block in the input grid that is the smallest and place it in the opposite position in the output grid. Then surround that block with blocks of the purple color.","To make the output, you have to...make the entire output grid black. then find the block in the input grid that is the only one of that color and place it in the same position in the output grid. Then surround that block with blocks of the bright red-orange color.","To make the output, you have to...keep the output grid unchanged, then find the block in the input grid that is the largest and place it in a random position in the output grid. Then surround that block with blocks of the blue color.","To make the output, you have to...make the entire output grid white, then find the block in the input grid that is the same color as most blocks and place it in a different position in the output grid. Then surround that block with blocks of the green color.",3
145,662c240a,"To make the output, you have to...modify a non-diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are horizontally connected in.","To make the output, you have to...replicate a non-diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are vertically connected in.","To make the output, you have to...destroy a non-diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are scattered.","To make the output, you have to...create a non-diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Single-color 3x3 grids, which are vertically connected in.","To make the output, you have to...replicate a diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are vertically separated.",2
234,995c5fa3,"To make the output, you have to...Identify the shapes of five objects from the input grid and determine their corresponding colors. A 4x4 square is yellow, an object with a center hole is pink, an object indented on right and left sides is black, and an object indented at the bottom is red. Color each object from right to left in the input grid, filling the 3x3 output grid row by row from the bottom.","To make the output, you have to...Identify the shapes of two objects from the input grid and determine their corresponding colors. A 4x4 square is blue, an object with a center hole is green, an object indented on right and left sides is light blue, and an object indented at the bottom is red. Color each object from left to right in the input grid, filling the 3x3 output grid row by row from the bottom.","To make the output, you have to...Identify the shapes of one object from the input grid and determine their corresponding colors. A 4x4 square is green, an object with a center hole is brown, an object indented on right and left sides is yellow, and an object indented at the bottom is pink. Color each object from left to right in the input grid, filling the 3x3 output grid column by column from the top.","To make the output, you have to...Identify the shapes of three objects from the input grid and replace their corresponding colors. A 4x4 circle is red, an object with a center hole is yellow, an object indented on right and left sides is blue, and an object indented at the bottom is gray. Color each object from right to left in the input grid, filling the 3x3 output grid column by column from the top.","To make the output, you have to...Identify the shapes of three objects from the input grid and determine their corresponding colors. A 4x4 square is red, an object with a center hole is light blue, an object indented on right and left sides is green, and an object indented at the bottom is yellow. Color each object from left to right in the input grid, filling the 3x3 output grid row by row from the top.",5
307,c8cbb738,"To make the output, you have to...combine groups of pixels of the same color while altering their shapes around a common center. The colors from the input grid must change.","To make the output, you have to...scatter groups of pixels of different colors while distorting their forms around different points. The colors from the input grid must be modified.","To make the output, you have to...combine individual pixels regardless of their color while changing their alignment to a new pivot point. The colors from the input grid must swap.","To make the output, you have to...separate groups of pixels of different colors while maintaining their edges around different centers. The colors from the input grid must remain unchanged.","To make the output, you have to...combine groups of pixels of different colors while maintaining their shapes around a common center. The colors from the input grid must remain unchanged.",5
273,b0c4d837,"To make the output, you have to...measure the width of the U shape made of gray pixels. Subtract the width filled with yellow pixels from the original width of the U. Fill the 3x3 output grid with this difference in yellow pixels, starting from left to right on the bottom row, and right to left on the following rows.","To make the output, you have to...calculate the outside height of the U shape made of gray pixels. Add the height filled with light blue pixels to the original height of the U. Fill the 3x3 output grid with this sum in light blue pixels, starting from right to left on the top row, and left to right on the following rows.","To make the output, you have to...calculate the inside height of the U shape made of gray pixels. Subtract the height filled with light blue pixels from the original height of the U. Fill the 3x3 output grid with this difference in light blue pixels, starting from left to right on the top row, and right to left on the following rows.","To make the output, you have to...calculate the height of the H shape made of gray pixels. Subtract the height filled with green pixels from the original height of the H. Fill the 3x3 output grid with this difference in green pixels, starting from right to left on the top row, and left to right on the following rows.","To make the output, you have to...calculate the inside height of the U shape made of gray pixels. Subtract the height filled with light blue pixels from the original height of the U. Fill the 3x3 output grid with this difference in light blue pixels, starting from left to right on the top row, and right to left on the following rows.",3
331,d406998b,"To make the output, you have to...start from the top row and change the blue pixels in the odd-numbered columns with red.","To make the output, you have to...use the bottom row and change the yellow pixels in the even-numbered columns with black.","To make the output, you have to...begin from the left-most column and change the grey pixels in the even-numbered columns with pink.","To make the output, you have to...begin from the left-most column and change the grey pixels in the even-numbered rows with blue.","To make the output, you have to...begin from the right-most column and change the grey pixels in the odd-numbered columns with green.",5
