task_id,task_name,shuffled_description1,shuffled_description2,shuffled_description3,shuffled_description4,shuffled_description5,answer
31,1e0a9b12,"To make the output, you have to...imagine the grid as a dark field and as the colored squares as being objects flying in space. Gravity is suddenly negated and all of the blocks rise vertically to the top. That produces the correct output grid.","To make the output, you have to...think of the grid as a white field and as the colored squares as being objects fixed in space. Gravity is suddenly turned off and all the blocks rise vertically to the top. That produces the correct output grid.","To make the output, you have to...consider the grid as a dark field and as the colored squares as being objects moving horizontally in space. Gravity is suddenly turned on and all of the blocks fall horizontally to the right. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and as the colored squares as being objects floating in space. Gravity is suddenly turned on and all of the block fall vertically to the bottom. That produces the correct output grid.","To make the output, you have to...visualize the grid as a light field and as the colored squares as being static objects in space. Gravity is suddenly engaged and all of the blocks move horizontally to the left. That produces the correct output grid.",4
86,3c9b0459,"To make the output, you have to...rotate the grid 90 degrees clockwise.","To make the output, you have to...rotate the grid 180 degrees clockwise.","To make the output, you have to...rotate the grid 180 degrees counterclockwise.","To make the output, you have to...flip the grid horizontally.","To make the output, you have to...flip the grid vertically.",2
13,0b148d64,"To make the output, you have to...ignore the four sections colored in uniform patterns and copy one of the uniform sections into the output grid.","To make the output, you have to...identify the section colored similarly to the others and copy this section into the output grid.","To make the output, you have to...select all four sections regardless of their color patterns and merge them into the output grid in the same positions.","To make the output, you have to...combine the four sections' colors in a uniform pattern and replicate the combined pattern into the output grid.","To make the output, you have to...distinguish between four sections colored in random patterns, and among these, identify the one section that is colored differently. Afterward, copy only the differently colored section into the output grid.",5
96,42a50994,"To make the output, you have to...ignore the input grid, identify which pixels are connected and change background colors of all pixels to green.","To make the output, you have to...invert the input grid, identify which pixels are isolated and change background colors of touching pixels to red.","To make the output, you have to...erase the input grid, identify which pixels are disconnected from others and change background colors of connected pixels to white.","To make the output, you have to...randomly remove half the pixels in the input grid and change the background color of remaining pixels to blue.","To make the output, you have to...copy the input grid, identify which pixels are connected or touching any other and change background colors of single pixels to the background color or black.",5
67,31aa019c,"To make the output, you have to...make the entire output grid white. then find the block in the input grid that is the same as others and place it in the opposite position in the output grid. Then surround that block with blocks of the deep blue color.","To make the output, you have to...make the entire output grid gray. then find the block in the input grid that has the same color as others and place it in the top right corner in the output grid. Then surround that block with blocks of the dark red color.","To make the output, you have to...make the entire output grid blue. then find the block in the input grid that is the most common color and place it in the same position in the output grid. Then surround that block with blocks of the dark green color.","To make the output, you have to...make the entire output grid black. then find the block in the input grid that is the only one of that color and place it in the same position in the output grid. Then surround that block with blocks of the bright red-orange color.","To make the output, you have to...make the entire output grid brown. then find the block in the input grid that is the least common color and place it in a different position in the output grid. Then surround that block with blocks of the bright yellow color.",4
145,662c240a,"To make the output, you have to...replicate a non-diagonally symmetrical 3x3 grid from a 9x9 grid. It is composed with 2 Two-color 3x3 grids, which are vertically connected in.","To make the output, you have to...replicate a non-diagonally symmetrical 3x3 grid from a 6x6 grid. It is composed with 3 Two-color 3x3 grids, which are vertically connected in.","To make the output, you have to...replicate a diagonally symmetrical 3x3 grid from a 9x9 grid. It is composed with 2 Two-color 3x3 grids, which are vertically connected in.","To make the output, you have to...replicate a non-diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are vertically connected in.","To make the output, you have to...replicate a diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are horizontally connected in.",4
234,995c5fa3,"To make the output, you have to...Identify the shapes of three objects from the input grid and determine their corresponding colors. A 4x4 square is red, an object with a center hole is light blue, an object indented on right and left sides is green, and an object indented at the bottom is yellow. Color each object from left to right in the input grid, filling the 3x3 output grid row by row from the top.","To make the output, you have to...identify the shapes of four objects from the input grid and determine their corresponding colors. A 4x4 square is pink, an object with a center hole is yellow, an object indented on right and left sides is red, and an object indented at the bottom is brown. Color each object from left to right in the input grid, filling the 3x3 output grid column by column from the left.","To make the output, you have to...identify the shapes of four objects from the input grid and determine their corresponding colors. A 4x4 square is blue, an object with a center hole is brown, an object indented on right and left sides is gray, and an object indented at the bottom is black. Color each object from right to left in the input grid, filling the 3x3 output grid row by row from the top.","To make the output, you have to...identify the shapes of three objects from the input grid and determine their corresponding colors. A 4x4 square is green, an object with a center hole is black, an object indented on right and left sides is blue, and an object indented at the bottom is brown. Color each object from left to right in the input grid, filling the 3x3 output grid row by row from the top.","To make the output, you have to...identify the shapes of three objects from the input grid and determine their corresponding colors. A 4x4 square is black, an object with a center hole is gray, an object indented on right and left sides is pink, and an object indented at the bottom is blue. Color each object from right to left in the input grid, filling the 3x3 output grid row by row from the bottom.",1
307,c8cbb738,"To make the output, you have to...remove groups of pixels of different colors and distort their shapes around random points. The colors from the input grid must not remain unchanged.","To make the output, you have to...combine groups of pixels of different colors while maintaining their shapes around a common center. The colors from the input grid must remain unchanged.","To make the output, you have to...disintegrate groups of pixels of different colors while changing their shapes around various points. The colors from the input grid should be altered.","To make the output, you have to...separate groups of pixels of similar colors and alter their shapes around a common center. The colors from the input grid must be changed.","To make the output, you have to...blend groups of pixels of similar colors without maintaining their shapes around different centers. The colors from the input grid must be modified.",2
273,b0c4d837,"To make the output, you have to...calculate the inside width of the U shape made of light blue pixels. Subtract the only half of this width from the original width of the U. Fill the 3x3 output grid with the difference in gray pixels, starting from left to right on the bottom row, and right to left on the following rows.","To make the output, you have to...measure the width of the U shape made of gray pixels. Add the height filled with light blue pixels to the original width of the U. Fill the 3x3 output grid with this sum in gray pixels, starting from left to right on the bottom row, and right to left on the following rows.","To make the output, you have to...subtract the outside height of the U shape made of gray pixels from the height filled with light blue pixels. Fill the 3x3 output grid with this difference in gray pixels, starting from right to left on the top row, and left to right on the following rows.","To make the output, you have to...calculate the inside height of the U shape made of gray pixels. Subtract the height filled with light blue pixels from the original height of the U. Fill the 3x3 output grid with this difference in light blue pixels, starting from left to right on the top row, and right to left on the following rows.","To make the output, you have to...calculate the outside height of the U shape made of gray pixels. Add the height filled with light blue pixels to the original height of the U. Fill the 3x3 output grid with this sum in light blue pixels, starting from left to right on the top row, and right to left on the following rows.",4
331,d406998b,"To make the output, you have to...begin from the bottom-most row and change the grey pixels in the odd-numbered rows with blue.","To make the output, you have to...begin from the left-most column and change the grey pixels in the even-numbered columns with yellow.","To make the output, you have to...begin from the right-most column and change the grey pixels in the odd-numbered columns with green.","To make the output, you have to...begin from the right-most column and change the grey pixels in the even-numbered columns with red.","To make the output, you have to...begin from the top-most row and change the grey pixels in the odd-numbered rows with light blue.",3
