task_id,task_name,shuffled_description1,shuffled_description2,shuffled_description3,shuffled_description4,shuffled_description5,answer
86,3c9b0459,"To make the output, you have to...rotate the grid 90 degrees counterclockwise.","To make the output, you have to...flip the grid horizontally.","To make the output, you have to...rotate the grid 180 degrees clockwise.","To make the output, you have to...rotate the grid 90 degrees clockwise.","To make the output, you have to...rotate the grid 180 degrees counterclockwise.",3
13,0b148d64,"To make the output, you have to...distinguish between four sections colored in random patterns, and among these, identify the one section that is colored differently. Afterward, copy only the differently colored section into the output grid.","To make the output, you have to...combine the four sections that are colored in similar patterns and then copy the combined section into the output grid.","To make the output, you have to...consider only one section colored in a random pattern and ignore the other three. Then copy the chosen section into the output grid.","To make the output, you have to...distinguish between four sections identical in patterns, and among these, identify the one section that is colored similarly. Afterward, copy only the similarly colored section into the output grid.","To make the output, you have to...rotate the four sections 90 degrees and copy any one of the rotated sections into the output grid.",1
96,42a50994,"To make the output, you have to...remove the input grid and disconnect all the pixels that are connected.","To make the output, you have to...copy the input grid and identify which pixels are isolated and change them to make all pixels connected.","To make the output, you have to...copy the input grid, identify which pixels are connected or touching any other and change background colors of single pixels to the background color or black.","To make the output, you have to...not copy the input grid, leave all pixels unchanged.","To make the output, you have to...copy the input grid and leave all pixels and background colors exactly as they are.",3
234,995c5fa3,"To make the output, you have to...identify the shapes of three objects from the input grid and determine their corresponding sizes. A 4x4 square is small, an object with a center hole is medium, an object indented on right and left sides is large, and an object indented at the bottom is extra large. Place each object from left to right in the input grid, filling the 3x3 output grid row by row from the top.","To make the output, you have to...ignore the shapes and identify the colors of three objects in the input grid. A 4x4 square is blue, an object with a center hole is red, an object indented on right and left sides is green, and an object indented at the bottom is yellow. Color each object from bottom to top in the input grid, filling the 3x3 output grid column by column from the right.","To make the output, you have to...mix the shapes and colors of three objects in the input grid. A 4x4 square is yellow, an object with a center hole is green, an object indented on right and left sides is light blue, and an object indented at the bottom is red. Color each object randomly in the input grid, filling the 3x3 output grid diagonally from the top-left.","To make the output, you have to...Identify the shapes of three objects from the input grid and determine their corresponding colors. A 4x4 square is red, an object with a center hole is light blue, an object indented on right and left sides is green, and an object indented at the bottom is yellow. Color each object from left to right in the input grid, filling the 3x3 output grid row by row from the top.","To make the output, you have to...ignore the colors and identify only the shapes of three objects from the input grid. A 4x4 square is present, an object with a center hole is absent, an object indented on right and left sides is present, and an object indented at the bottom is absent. Place the shapes in the order they appear in the input grid, filling the 3x3 output grid row by row from the bottom.",4
307,c8cbb738,"To make the output, you have to...combine groups of pixels of different colors while maintaining their shapes around a common center. The colors from the input grid must remain unchanged.","To make the output, you have to...separate groups of pixels of the same colors into different shapes within different borders. The grids' colors must be modified.","To make the output, you have to...merge all pixels into a single color while maintaining a random arrangement. The colors from the input grid must be swapped.","To make the output, you have to...isolate groups of pixels into different areas without preserving their colors. The output grid must change all the original colors.","To make the output, you have to...merge groups of pixels of varying shapes, aligned to different corners. The input grid must have its colors changed.",1
331,d406998b,"To make the output, you have to...begin from the right-most column and change the grey pixels in the odd-numbered columns with green.","To make the output, you have to...begin from the right-most column and change the grey pixels in the odd-numbered columns with green.","To make the output, you have to...begin from the left-most column and change the grey pixels in the even-numbered columns with green.","To make the output, you have to...begin from the right-most column and change the green pixels in the odd-numbered columns with black.","To make the output, you have to...begin from the bottom row and change the grey pixels in the odd-numbered columns with blue.",1
31,1e0a9b12,"To make the output, you have to...think of the grid as a black field and as the colored squares as being objects fixed in position. Gravity is suddenly turned on and none of the blocks move. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and as the colored squares as being objects floating in space. Gravity is suddenly turned on and all of the block fall vertically to the bottom. That produces the correct output grid.","To make the output, you have to...think of the grid as a white field and as the colored squares as being objects anchored in place. Gravity is suddenly turned off and all of the blocks float upwards to the top. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and as the colored squares as being stationary objects. Gravity is suddenly turned on and all of the blocks rise vertically to the top. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and as the colored squares as being objects floating in space. Gravity is suddenly turned off and all of the blocks float at the top. That produces the correct output grid.",2
67,31aa019c,"To make the output, you have to...keep the entire output grid white, then find the block in the input grid that is the only one of that color and place it in the same position in the output grid. Then surround that block with blocks of the dark blue color.","To make the output, you have to...make the entire output grid red, then find the block in the input grid that is not of that color and place it in a different position in the output grid. Then surround that block with blocks of the dark purple color.","To make the output, you have to...leave the entire output grid as is, then find any block in the input grid that is not unique and place it in a different position in the output grid. Then surround that block with blocks of the light yellow color.","To make the output, you have to...make the entire output grid white, then find the blocks in the input grid that are all the same color and place them in different positions in the output grid. Then surround those blocks with blocks of the green color.","To make the output, you have to...make the entire output grid black. then find the block in the input grid that is the only one of that color and place it in the same position in the output grid. Then surround that block with blocks of the bright red-orange color.",5
145,662c240a,"To make the output, you have to...erase a non-diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 monochrome 3x3 grids, which are vertically connected in.","To make the output, you have to...dismantle a diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 monochrome 3x3 grids, which are horizontally connected in.","To make the output, you have to...merge a diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are horizontally connected in.","To make the output, you have to...erase a diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are horizontally connected in.","To make the output, you have to...replicate a non-diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are vertically connected in.",5
273,b0c4d837,"To make the output, you have to...calculate the width of the U shape made of gray pixels. Ignore the height of the light blue pixels and fill the grid with gray pixels.","To make the output, you have to...subtract the width difference instead of the height. Fill the 3x3 output grid with gray pixels, starting from right to left on all rows.","To make the output, you have to...ignore any height calculations. Fill the 3x3 output grid randomly with light blue pixels.","To make the output, you have to...focus on the color of the U shape. Fill the 3x3 output grid with alternating gray and blue pixels without any height calculation.","To make the output, you have to...calculate the inside height of the U shape made of gray pixels. Subtract the height filled with light blue pixels from the original height of the U. Fill the 3x3 output grid with this difference in light blue pixels, starting from left to right on the top row, and right to left on the following rows.",5
