task_id,task_name,shuffled_description1,shuffled_description2,shuffled_description3,shuffled_description4,shuffled_description5,answer
31,1e0a9b12,"To make the output, you have to...think of the grid as a white field and the colored squares as objects resting on the ground. Anti-gravity is suddenly turned on, and all the blocks levitate vertically to the top. That produces the correct output grid.","To make the output, you have to...imagine the grid as a black field and the colored squares as being fixed stars. Gravity is suddenly turned off, and all the blocks stay in place. That produces the correct output grid.","To make the output, you have to...think of the grid as a black wall and the colored squares as being paintings on it. Gravity is suddenly turned on, and all the blocks fall horizontally to the right. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and as the colored squares as being objects floating in space. Gravity is suddenly turned on and all of the block fall vertically to the bottom. That produces the correct output grid.","To make the output, you have to...imagine the grid as a black field and the colored circles as being objects floating in space. Anti-gravity is suddenly turned on, and all the blocks fly horizontally to the left. That produces the correct output grid.",4
86,3c9b0459,"To make the output, you have to...shift the grid downwards by one row.","To make the output, you have to...rotate the grid 180 degrees counterclockwise.","To make the output, you have to...flip the grid horizontally.","To make the output, you have to...rotate the grid 90 degrees clockwise.","To make the output, you have to...rotate the grid 180 degrees clockwise.",5
13,0b148d64,"To make the output, you have to...rotate each section 180 degrees counterclockwise, and randomly apply colors to the output grid.","To make the output, you have to...rotate each section 90 degrees clockwise, and then merge them into a single output grid.","To make the output, you have to...erase the three sections that have similar colors and copy the most common section into the output grid.","To make the output, you have to...combine the four sections into one, and then change the colors to match a different given pattern.","To make the output, you have to...distinguish between four sections colored in random patterns, and among these, identify the one section that is colored differently. Afterward, copy only the differently colored section into the output grid.",5
96,42a50994,"To make the output, you have to...copy the input grid, ignore which pixels are connected or touching any other and change background colors of all pixels to the background color or black.","To make the output, you have to...make the entire grid malfunctions, identify which pixels are isolated and change pixels on the connected parts to blue.","To make the output, you have to...copy the input grid, identify which pixels are connected or touching any other and change background colors of single pixels to the background color or black.","To make the output, you have to...copy the input grid, identify which pixels are disconnected from any other and change background colors of multiple pixels to the background color or black.","To make the output, you have to...shift the input grid, identify which pixels are displaced and change the background colors of only the connected pixels to yellow.",3
67,31aa019c,"To make the output, you have to...make scattered colored pixels on the output grid. Identify the block that is the most common color and place it in the same position in the output grid. Then surround that block with blocks of the green color.","To make the output, you have to...copy the input grid directly onto the output grid without any changes. Ensure that all blocks from the input grid are represented in the same colors and positions in the output grid.","To make the output, you have to...fill the entire output grid with a checkered pattern, then find the block that is the least frequently occurring color in the input grid and place it in the center of the output grid. Then surround that block with blocks of the blue color.","To make the output, you have to...make the entire output grid white, then find the block in the input grid that is the only one of that color, and place it in a different position in the output grid. Then surround that block with blocks of the dark red color.","To make the output, you have to...make the entire output grid black. then find the block in the input grid that is the only one of that color and place it in the same position in the output grid. Then surround that block with blocks of the bright red-orange color.",5
145,662c240a,"To make the output, you have to...replicate a non-diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are vertically connected in.","To make the output, you have to...replicate a horizontally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 three-color 3x3 grids, which are vertically connected in.","To make the output, you have to...rotate a diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 one-color 3x3 grids, which are horizontally connected in.","To make the output, you have to...replicate a diagonally symmetrical 3x3 grid from a 3x9 grid. It is composed with 3 two-color 3x3 grids, which are diagonally connected in.","To make the output, you have to...replicate a diagonally symmetrical 2x2 grid from a 6x2 grid. It is composed with 2 two-color 2x2 grids, which are vertically connected in.",1
234,995c5fa3,"To make the output, you have to...identify the three largest objects and color them black, brown, and pink in the output grid row by row from the bottom.","To make the output, you have to...ignore the indentations on objects and color them the same from right to left in the input grid, filling the 3x3 output grid column by column from the top.","To make the output, you have to...Combine all colors into a single large square and place it in the middle of the 3x3 output grid.","To make the output, you have to...Identify the shapes of three objects from the input grid and determine their corresponding colors. A 4x4 square is red, an object with a center hole is light blue, an object indented on right and left sides is green, and an object indented at the bottom is yellow. Color each object from left to right in the input grid, filling the 3x3 output grid row by row from the top.","To make the output, you have to...erase all shapes from the input grid to produce a blank 3x3 output grid, starting with the red square.",4
307,c8cbb738,"To make the output, you have to...merge groups of pixels of monochrome colors while altering their shapes around a new center. The colors from the input grid must be reversed.","To make the output, you have to...separate groups of pixels of similar colors while maintaining their positions along the edges. The shapes from the input grid must remain unchanged.","To make the output, you have to...divide groups of pixels of consistent colors while transforming their forms around distinct centers. The shades from the input grid must not be changed.","To make the output, you have to...scatter groups of pixels of different patterns while disrupting their shapes around various centers. The colors from the input grid must be altered.","To make the output, you have to...combine groups of pixels of different colors while maintaining their shapes around a common center. The colors from the input grid must remain unchanged.",5
273,b0c4d837,"To make the output, you have to...invert the colors of the U shape made of gray and light blue pixels. Turn all gray pixels to light blue and all light blue pixels to gray. Rotate the U shape 90 degrees clockwise and place it in the center of the 3x3 output grid.","To make the output, you have to...calculate the inside height of the U shape made of gray pixels. Subtract the height filled with light blue pixels from the original height of the U. Fill the 3x3 output grid with this difference in light blue pixels, starting from left to right on the top row, and right to left on the following rows.","To make the output, you have to...mirror the U shape made of gray pixels horizontally. Change all the light blue pixels to yellow. Place the mirrored U shape at the bottom-right corner of the 3x3 output grid.","To make the output, you have to...calculate the inside width of the U shape made of gray pixels. Subtract the width filled with light blue pixels from the original width of the U. Fill the 3x3 output grid with this difference in light blue pixels, starting from top to bottom on the left column, and bottom to top on the following columns.","To make the output, you have to...count the total number of gray pixels in the U shape as well as the light blue ones. Fill the 3x3 output grid alternating between these numbers starting from the top-left to the bottom-right corner in zigzag.",2
331,d406998b,"To make the output, you have to...begin from the left-most column and change the grey pixels in the even-numbered columns with green.","To make the output, you have to...begin from the left-most column and change the black pixels in the odd-numbered columns with red.","To make the output, you have to...start from the right-most column and change the grey pixels in all columns with yellow.","To make the output, you have to...begin from the right-most row and replace the grey pixels in the odd-numbered rows with blue.","To make the output, you have to...begin from the right-most column and change the grey pixels in the odd-numbered columns with green.",5
