task_id,task_name,shuffled_description1,shuffled_description2,shuffled_description3,shuffled_description4,shuffled_description5,answer
31,1e0a9b12,"To make the output, you have to...consider the grid as an empty field and the colored squares as being objects drifting in the wind. Wind blows them horizontally to the right. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and as the colored squares as being objects floating in space. Gravity is suddenly turned on and all of the block fall vertically to the bottom. That produces the correct output grid.","To make the output, you have to...imagine the grid as a black surface and the colored squares as objects glued to the surface. Friction is increased and all the blocks stick in position. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and the colored squares as being objects suspended in air. Gravity is turned off and all the blocks float to the top. That produces the correct output grid.","To make the output, you have to...envision the grid as a black ocean and the colored squares as being objects submerged underwater. Gravity pulls them down diagonally to the left. That produces the correct output grid.",2
86,3c9b0459,"To make the output, you have to...rotate the grid 180 degrees counterclockwise.","To make the output, you have to...rotate the grid 90 degrees clockwise.","To make the output, you have to...rotate the grid 180 degrees clockwise.","To make the output, you have to...flip the grid vertically.","To make the output, you have to...flip the grid horizontally.",3
13,0b148d64,"To make the output, you have to...distinguish between four sections colored identically, and among these, identify the one section that is colored like the others. Afterward, copy only the similar section into the output grid.","To make the output, you have to...merge four uniformly colored sections, and among these, identify the one section that is colored in the same way. Afterward, copy only the identical section into the output grid.","To make the output, you have to...distinguish between four sections colored in random patterns, and among these, identify the one section that is colored differently. Afterward, copy only the differently colored section into the output grid.","To make the output, you have to...combine four sections colored uniformly, and among these, identify the one section that is colored similarly. Afterward, copy only the similarly colored section into the output grid.","To make the output, you have to...merge four sections, each with identical colors, and among these, identify the one section that is colored the same. Afterward, copy only the similarly colored section into the output grid.",3
96,42a50994,"To make the output, you have to...copy the input grid, identify which pixels are connected or touching any other and change background colors of single pixels to the background color or black.","To make the output, you have to...erase the input grid, identify which pixels are isolated and change their background colors to red or brown.","To make the output, you have to...copy the input grid, identify which pixels are not near to any other and change their background colors to gray or light blue.","To make the output, you have to...remove the input grid, identify which pixels are alone and keep their background colors as yellow or pink.","To make the output, you have to...copy the input grid, identify which pixels are not connected to any other and change their background colors to white or blue.",1
145,662c240a,"To make the output, you have to...replicate a diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are horizontally connected in.","To make the output, you have to...replicate a diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 monotone 3x3 grids, which are horizontally connected in.","To make the output, you have to...replicate a non-diagonally asymmetrical 3x3 grid from a 9x3 grid. It is composed with 3 monotone 3x3 grids, which are vertically connected in.","To make the output, you have to...replicate a non-diagonally asymmetrical 3x3 grid from a 3x9 grid. It is composed with 3 Two-color 3x3 grids, which are vertically connected in.","To make the output, you have to...replicate a non-diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are vertically connected in.",5
234,995c5fa3,"To make the output, you have to...Identify the shapes of three objects from the input grid and determine their contrasting colors. A 4x4 square is gray, an object with a center hole is yellow, an object indented on right and left sides is pink, and an object indented at the bottom is black. Color each object from right to left in the input grid, filling the 3x3 output grid column by column from the bottom.","To make the output, you have to...Identify the shapes of three objects from the input grid and determine their corresponding colors. A 4x4 square is red, an object with a center hole is light blue, an object indented on right and left sides is green, and an object indented at the bottom is yellow. Color each object from left to right in the input grid, filling the 3x3 output grid row by row from the top.","To make the output, you have to...Identify the shapes of three objects from the input grid and determine their opposite colors. A 4x4 square is black, an object with a center hole is pink, an object indented on right and left sides is brown, and an object indented at the bottom is gray. Color each object from left to right in the output grid, filling the 3x3 input grid row by row from the bottom.","To make the output, you have to...Identify the shapes of three objects from the input grid and determine their corresponding colors. A 4x4 rectangle is blue, an object without a center hole is green, an object indented on left and right sides is red, and an object indented at the top is light blue. Color each object from bottom to top in the input grid, filling the 3x3 output grid row by row from the top.","To make the output, you have to...Identify the shapes of three objects from the input grid and determine their corresponding colors. A 4x4 circle is light blue, an object with two center holes is gray, an object bulging on right and left sides is brown, and an object bulging at the bottom is pink. Color each object from right to left in the output grid, filling the 3x3 input grid column by column from the top.",2
307,c8cbb738,"To make the output, you have to...create isolated groups of pixels of different colors around multiple centers. Change all colors to black in the output grid.","To make the output, you have to...combine groups of pixels of different colors while maintaining their shapes around a common center. The colors from the input grid must remain unchanged.","To make the output, you have to...delete groups of pixels of different colors and disrupt their shapes around a common center. The colors from the input grid should be rearranged.","To make the output, you have to...scatter groups of pixels of varied colors randomly while keeping their shapes consistent. The colors from the input grid must be reversed.","To make the output, you have to...separate groups of pixels of the same color while altering their shapes around a different center. Change the colors from the input grid at random.",2
273,b0c4d837,"To make the output, you have to...calculate the height of the ""+"" shape made of gray pixels. Subtract the height filled with yellow pixels from the original height of the +. Fill the 3x3 output grid with this difference in yellow pixels, starting from left to right on the bottom row, and left to right on all rows.","To make the output, you have to...calculate the inside height of the U shape made of gray pixels. Subtract the height filled with light blue pixels from the original height of the U. Fill the 3x3 output grid with this difference in light blue pixels, starting from left to right on the top row, and right to left on the following rows.","To make the output, you have to...measure the total area of the U shape made of green pixels. Subtract the area covered with red pixels from the original area of the U. Fill the 3x3 output grid with this difference in red pixels, starting from right to left on the top row, and left to right on the following rows.","To make the output, you have to...calculate the outside height of the U shape made of purple pixels. Subtract the height filled with light blue pixels from the original height of the U. Fill the 3x3 output grid with this difference in light blue pixels, starting from right to left on the top row, and left to right on the following rows.","To make the output, you have to...calculate the width of the L shape made of gray pixels. Subtract the width filled with light blue pixels from the original width of the L. Fill the 3x3 output grid with this difference in light blue pixels, starting from left to right on the top row, and right to left on the following rows.",2
331,d406998b,"To make the output, you have to...begin from the right-most column and change the grey pixels in the odd-numbered columns with green.","To make the output, you have to...begin from the right-most column and change only the green pixels in the even-numbered columns with yellow.","To make the output, you have to...start from the left-most column and change the black pixels in the odd-numbered columns with light blue.","To make the output, you have to...begin from the top-most row and change the grey pixels in the even-numbered rows with red.","To make the output, you have to...start from the bottom-most row and change the gray pixels in the odd-numbered rows with pink.",1
67,31aa019c,"To make the output, you have to...make the entire output grid black. then find the block in the input grid that is the only one of that color and place it in the same position in the output grid. Then surround that block with blocks of the bright red-orange color.","To make the output, you have to...make the entire output grid white, then replace a block of a different color from the input grid with it. Surround the replaced block with blocks of blue color.","To make the output, you have to...color the output grid white, then find the block in the output grid that is the only one of that color and remove it. Then surround the empty space with blocks of gray color.","To make the output, you have to...make the entire input grid white, then swap the largest block with the smallest block in the output grid. Then surround the grid with blocks of a dark green color.","To make the output, you have to...make the entire output grid red, then find the block in the input grid that is the same color and place it in the opposite position in the output grid. Then surround that block with blocks of light blue color.",1
