correct_wrong_1,correct_wrong_2,correct_wrong_3,correct_wrong_4,correct_wrong_5
1,1,1,1,1
1,1,1,1,1
0,1,1,0,0
1,0,0,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,1,1,1,1
1,0,0,0,0
1,1,1,1,1
1,1,1,1,1
0,1,1,1,1
1,0,0,0,1
0,1,1,1,1
1,0,0,0,0
0,0,1,0,1
1,1,1,1,0
0,1,1,1,1
1,0,0,0,0
0,1,1,1,1
1,0,0,0,1
1,1,1,1,1
1,1,1,1,0
0,1,1,1,1
1,0,1,0,0
0,1,0,1,0
1,0,1,0,1
1,0,1,0,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,0,1
1,1,1,1,0
1,0,1,1,1
1,0,1,1,1
1,0,1,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,0,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,0
1,1,0,1,1
0,1,1,1,1
1,0,1,0,0
1,1,0,1,1
0,1,1,1,0
1,0,1,0,1
0,1,1,1,1
1,1,0,0,0
0,1,1,1,1
1,0,0,0,1
0,0,1,0,1
1,1,1,1,0
1,0,1,0,1
1,1,1,1,1
0,1,1,1,1
1,1,0,1,1
1,0,1,0,0
1,1,1,1,0
1,1,0,1,1
0,1,1,0,1
1,1,1,1,1
1,0,0,0,1
1,1,1,1,0
0,1,1,1,1
1,1,0,0,1
1,1,1,0,1
0,1,0,1,1
1,1,0,1,1
1,0,1,0,0
1,1,1,1,0
1,1,1,1,1
1,0,0,1,1
1,1,0,1,0
0,1,1,1,1
0,1,1,0,1
1,1,0,0,0
1,0,1,0,1
0,1,0,1,1
1,1,1,1,1
1,1,1,0,0
0,0,1,0,1
1,1,0,1,1
1,0,1,0,0
1,1,1,1,1
0,1,0,1,1
1,1,1,1,1
1,0,1,0,1
0,1,1,1,0
1,1,1,1,1
1,0,0,0,1
1,1,0,1,1
1,1,1,1,0
0,1,1,1,1
0,1,1,1,0
1,0,1,0,1
1,0,0,0,1
1,1,0,1,1
0,1,1,1,1
0,1,1,1,1
1,0,1,1,0
1,0,1,0,0
1,0,1,0,1
1,1,0,1,1
1,0,0,1,1
1,1,1,1,1
0,1,1,1,1
0,1,1,1,0
1,0,1,0,1
0,0,1,0,1
1,1,1,1,1
1,1,1,0,0
1,1,1,1,1
0,1,1,1,1
0,1,1,1,0
1,0,1,0,0
1,0,0,1,1
1,1,1,1,1
0,1,1,1,0
1,1,1,1,1
1,0,0,0,1
1,1,0,1,1
0,1,1,1,0
1,0,1,0,0
1,0,0,0,1
1,1,0,1,1
0,1,1,1,1
1,1,1,0,1
1,0,1,0,1
1,0,1,1,1
0,1,1,1,0
0,1,1,1,1
1,0,1,0,0
1,0,0,0,0
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,0
0,1,0,1,0
1,1,0,1,1
0,0,1,0,1
0,1,0,1,1
0,0,0,0,1
0,0,1,0,0
0,0,1,0,1
0,0,1,0,1
0,1,1,1,1
0,0,1,0,1
1,0,0,0,1
0,0,1,0,0
1,1,1,1,0
1,0,0,0,1
1,0,0,0,0
0,1,1,1,1
1,1,0,1,0
1,1,1,0,1
1,1,0,1,1
0,1,1,1,0
1,1,1,1,0
1,0,0,0,1
1,1,0,1,1
0,1,1,1,1
0,1,1,1,0
1,1,1,0,0
0,0,0,0,1
1,1,0,1,1
1,0,1,0,0
1,1,1,1,1
1,0,0,0,0
0,1,1,1,0
0,1,0,1,1
1,0,0,0,1
1,0,1,0,1
1,1,1,1,1
0,1,1,1,1
1,1,1,1,0
1,1,1,0,1
1,0,1,0,1
0,1,1,1,1
1,1,1,1,0
0,0,1,0,1
0,1,0,1,0
1,0,1,0,0
0,0,0,0,1
1,1,0,1,1
1,1,1,1,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,1,1,1,1
1,1,1,0,1
1,0,1,0,1
1,1,1,1,1
0,1,1,1,1
1,1,0,1,1
0,0,0,0,1
1,1,1,1,0
1,0,1,0,1
1,0,0,1,0
0,1,1,1,0
1,0,0,0,1
0,0,0,0,1
1,1,1,1,1
1,0,1,0,1
1,1,1,1,0
1,1,1,1,1
1,1,0,1,1
1,1,1,1,0
1,1,1,1,0
1,1,0,1,0
1,1,0,1,0
0,1,1,0,1
0,1,0,1,1
1,0,1,0,1
0,0,1,0,1
0,1,1,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,0
1,1,0,1,1
0,1,1,1,0
1,0,0,1,0
1,0,1,0,1
0,1,1,1,1
1,1,1,1,0
0,0,1,0,1
1,1,1,0,1
1,0,0,0,0
0,0,1,0,1
1,1,0,0,0
1,1,1,0,1
1,1,0,1,0
0,1,0,1,0
0,1,1,1,1
1,1,1,0,1
0,0,1,0,1
1,1,1,0,1
0,0,0,0,1
0,1,0,1,0
1,0,0,0,0
0,0,1,0,1
1,1,1,1,1
1,1,1,1,1
1,0,0,1,0
0,1,1,1,1
1,0,1,1,1
0,0,0,0,1
0,1,0,1,0
0,0,1,0,0
1,0,1,1,1
1,0,1,0,1
0,1,0,1,1
0,0,1,0,1
1,0,0,0,1
1,0,1,1,1
1,1,1,0,0
1,1,0,1,1
0,1,1,1,1
0,1,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,1,1,1,1
1,1,1,1,0
0,1,0,1,1
1,1,1,0,1
0,1,0,0,0
1,1,1,1,0
0,0,0,0,0
0,1,0,1,0
0,0,0,0,1
1,0,1,0,1
1,1,1,1,0
0,1,1,1,1
1,1,0,1,1
1,0,1,0,0
1,1,1,1,1
1,1,0,1,1
0,1,1,1,1
1,1,1,1,1
1,0,1,0,1
1,1,1,1,1
1,1,1,1,0
1,1,1,1,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,0
1,1,0,1,1
1,0,0,0,1
1,1,1,1,0
1,1,1,1,1
0,0,1,0,1
0,1,1,0,0
1,0,1,0,1
1,1,1,0,1
1,1,1,1,1
1,1,1,1,1
1,1,0,1,1
1,0,0,0,1
0,1,1,1,1
0,1,1,1,1
1,0,0,0,0
1,1,1,1,0
1,1,0,1,1
1,1,0,1,0
1,1,1,1,1
0,1,0,1,0
0,1,1,1,0
1,1,0,0,0
1,0,0,0,0
0,1,1,1,0
0,1,1,1,1
0,1,1,0,0
1,0,1,1,0
1,1,1,1,0
1,0,1,0,1
1,1,1,1,1
1,1,1,1,1
1,0,1,1,1
1,1,1,1,1
1,0,1,1,1
1,1,1,0,0
0,1,1,1,1
1,0,1,0,1
1,0,0,0,1
0,1,1,1,1
0,1,1,1,1
1,0,1,0,1
1,0,0,0,0
0,1,1,1,1
0,1,0,1,1
0,0,1,0,1
0,1,0,1,0
1,0,1,0,1
1,0,0,0,1
0,1,1,1,1
1,0,1,0,0
0,1,0,1,1
0,1,1,1,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,1,1,0,0
1,1,1,1,1
1,1,1,1,0
1,1,0,1,0
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,0,1,1,1
1,1,0,1,1
1,0,1,1,0
1,1,1,1,0
0,1,1,0,1
1,1,0,1,0
0,0,1,0,0
1,1,0,1,1
1,0,0,0,1
1,1,0,1,1
0,1,1,1,1
1,1,0,1,0
0,0,0,0,1
1,1,0,1,1
0,0,1,0,0
0,0,0,0,0
1,1,1,1,1
0,0,1,0,0
0,1,0,1,0
1,0,0,0,0
1,0,0,0,1
0,1,1,1,0
0,1,0,0,1
0,0,0,0,1
0,0,1,1,0
1,1,1,1,1
0,0,1,0,0
1,1,0,1,0
1,0,1,0,1
1,0,0,1,0
1,1,1,1,0
1,1,1,1,0
0,1,0,1,1
0,1,0,1,0
0,0,0,0,1
1,0,1,0,1
1,0,0,1,1
1,1,1,1,0
1,0,0,0,1
1,1,0,1,1
1,1,0,1,0
1,1,0,0,0
0,1,0,1,0
0,1,1,1,0
