,task_id,task_name,Correct(1) / Wrong(0),Correct(1) / Wrong(0)_other,Correct(1) / Wrong(0)_other,Correct(1) / Wrong(0)_other,Correct(1) / Wrong(0)_other,Correct(1) / Wrong(0)_other
0,0,007bbfb7,0,1,0,1,1,0
1,1,00d62c1b,1,1,1,1,1,1
2,2,017c7c7b,1,1,1,1,1,1
3,3,025d127b,0,0,0,0,0,0
4,4,045e512c,0,1,1,0,1,1
5,5,0520fde7,1,1,1,1,1,1
6,7,05f2a901,1,1,1,1,1,1
7,8,06df4c85,1,1,1,1,1,1
8,9,08ed6ac7,1,1,1,1,1,1
9,10,09629e4f,1,1,1,1,1,1
10,11,0962bcdd,1,1,1,1,1,1
11,12,0a938d79,1,0,1,0,1,0
12,13,0b148d64,0,1,1,1,0,1
13,14,0ca9ddb6,1,1,1,1,1,1
14,15,0d3d703e,1,1,1,1,1,1
15,16,0dfd9992,1,1,1,1,1,1
16,17,0e206a2e,0,0,1,0,1,0
17,18,10fcaaa3,1,1,1,1,1,1
18,19,11852cab,1,1,0,0,0,1
19,20,1190e5a7,0,0,0,1,0,0
20,21,137eaa0f,1,1,1,1,1,1
21,22,150deff5,1,1,1,1,1,1
22,23,178fcbfb,1,1,1,1,1,1
23,24,1a07d186,1,1,1,1,1,1
24,25,1b2d62fb,1,1,1,1,1,1
25,26,1b60fb0c,1,1,1,1,1,1
26,27,1bfc4729,1,1,1,1,1,1
27,28,1c786137,1,0,1,0,1,1
28,29,1caeab9d,1,1,1,1,1,1
29,30,1cf80156,1,1,1,1,1,1
30,31,1e0a9b12,1,1,1,1,1,1
31,32,1e32b0e9,1,1,1,1,1,1
32,33,1f0c79e5,1,1,1,1,1,1
33,34,1f642eb9,1,1,1,1,1,1
34,35,1f85a75f,0,1,1,1,0,0
35,36,1f876c06,1,1,1,1,1,1
36,37,1fad071e,1,1,1,1,1,1
37,38,2013d3e2,1,1,1,0,1,1
38,39,2204b7a8,0,0,0,0,0,0
39,40,22168020,1,1,1,1,1,1
40,41,22233c11,1,1,1,1,1,1
41,42,2281f1f4,1,1,1,1,1,1
42,43,228f6490,0,1,1,1,1,0
43,44,22eb0ac0,1,1,1,1,1,1
44,45,234bbc79,1,1,1,1,1,1
45,46,23581191,1,1,1,1,1,1
46,47,239be575,1,1,1,1,1,1
47,48,23b5c85d,1,1,1,1,1,1
48,49,253bf280,1,1,0,0,1,1
49,50,25d487eb,0,1,1,1,0,1
50,51,25d8a9c8,0,0,0,0,0,0
51,52,25ff71a9,0,1,1,1,1,1
52,53,264363fd,0,0,0,0,0,0
53,54,272f95fa,0,1,0,0,0,0
54,55,27a28665,0,1,1,0,1,1
55,56,28bf18c6,0,0,0,0,0,0
56,57,28e73c20,1,1,1,1,1,1
57,58,29623171,1,1,0,1,1,1
58,59,29c11459,0,0,0,0,0,0
59,60,29ec7d0e,1,1,1,1,1,1
60,61,2bcee788,1,1,1,1,1,1
61,62,2bee17df,1,1,1,1,1,1
62,63,2c608aff,0,0,0,0,0,0
63,64,2dc579da,1,1,1,1,1,1
64,65,2dd70a9a,1,1,1,1,1,1
65,66,2dee498d,1,1,1,1,1,1
66,67,31aa019c,1,1,1,1,1,1
67,68,321b1fc6,0,0,0,0,0,0
68,69,32597951,1,1,1,1,1,1
69,70,3345333e,1,1,1,1,1,1
70,71,3428a4f5,0,0,0,0,0,0
71,72,3618c87e,1,1,1,1,1,1
72,73,3631a71a,1,1,1,0,1,1
73,74,363442ee,1,1,1,1,1,1
74,75,36d67576,1,1,0,0,1,0
75,76,36fdfd69,1,0,1,1,1,1
76,77,3906de3d,1,1,1,1,1,1
77,78,39a8645d,0,1,0,1,0,0
78,79,39e1d7f9,1,1,1,1,1,1
79,80,3aa6fb7a,1,1,1,1,1,1
80,81,3ac3eb23,1,1,0,1,1,1
81,82,3af2c5a8,0,0,0,0,0,0
82,83,3bd67248,1,1,0,0,1,1
83,84,3bdb4ada,1,1,1,1,1,1
84,85,3befdf3e,1,1,1,1,1,1
85,86,3c9b0459,0,0,0,0,0,0
86,87,3de23699,1,1,1,1,1,1
87,88,3e980e27,1,1,1,1,1,1
88,89,3eda0437,1,1,1,1,1,1
89,90,3f7978a0,1,1,1,1,1,1
