file_name,num_of_input,num_of_output,average_input_numbers,average_input_types,average_output_numbers,average_output_types
007bbfb7,5,5,9.0,2.0,81.0,2.0
00d62c1b,5,5,147.2,2.0,147.2,3.0
017c7c7b,3,3,18.0,2.0,27.0,2.0
025d127b,2,2,99.0,2.5,99.0,2.5
045e512c,3,3,441.0,4.0,441.0,4.0
0520fde7,3,3,21.0,3.0,9.0,2.0
05269061,3,3,49.0,4.0,49.0,3.0
05f2a901,3,3,108.66666666666667,3.0,108.66666666666667,3.0
06df4c85,3,3,486.0,5.0,486.0,5.0
08ed6ac7,2,2,81.0,2.0,81.0,5.0
09629e4f,4,4,121.0,7.0,121.0,6.0
0962bcdd,2,2,144.0,3.0,144.0,3.0
0a938d79,4,4,200.25,3.0,200.25,3.0
0b148d64,3,3,368.6666666666667,3.0,72.33333333333333,2.0
0ca9ddb6,3,3,81.0,3.6666666666666665,81.0,5.666666666666667
0d3d703e,4,4,9.0,3.0,9.0,3.0
0dfd9992,3,3,441.0,7.0,441.0,6.0
0e206a2e,3,3,228.66666666666666,5.0,228.66666666666666,5.0
10fcaaa3,4,4,12.75,2.0,51.0,3.0
11852cab,3,3,100.0,4.0,100.0,4.0
1190e5a7,3,3,358.3333333333333,2.0,14.666666666666666,1.0
137eaa0f,3,3,121.0,5.333333333333333,9.0,5.0
150deff5,3,3,83.66666666666667,2.0,83.66666666666667,3.0
178fcbfb,3,3,90.33333333333333,4.0,90.33333333333333,4.0
1a07d186,3,3,264.0,3.6666666666666665,264.0,2.6666666666666665
1b2d62fb,5,5,35.0,3.0,15.0,2.0
1b60fb0c,3,3,100.0,2.0,100.0,3.0
1bfc4729,2,2,100.0,3.0,100.0,3.0
1c786137,3,3,332.3333333333333,5.333333333333333,47.666666666666664,4.333333333333333
1caeab9d,3,3,66.66666666666667,4.0,66.66666666666667,4.0
1cf80156,3,3,132.0,2.0,15.333333333333334,2.0
1e0a9b12,3,3,25.666666666666668,5.0,25.666666666666668,5.0
1e32b0e9,3,3,289.0,3.0,289.0,3.0
1f0c79e5,4,4,81.0,3.0,81.0,2.0
1f642eb9,3,3,100.0,6.333333333333333,100.0,6.333333333333333
1f85a75f,2,2,900.0,3.5,12.0,2.0
1f876c06,3,3,100.0,4.666666666666667,100.0,4.666666666666667
1fad071e,3,3,81.0,3.0,5.0,2.0
2013d3e2,2,2,100.0,5.5,9.0,5.5
2204b7a8,3,3,100.0,4.0,100.0,3.0
22168020,3,3,100.0,2.6666666666666665,100.0,2.6666666666666665
22233c11,3,3,100.0,2.0,100.0,3.0
2281f1f4,3,3,100.0,2.0,100.0,3.0
228f6490,3,3,100.0,5.0,100.0,5.0
22eb0ac0,3,3,100.0,5.666666666666667,100.0,5.666666666666667
234bbc79,4,4,31.5,4.5,24.75,3.5
23581191,2,2,81.0,3.0,81.0,4.0
239be575,6,6,37.0,3.0,1.0,1.0
23b5c85d,5,5,223.0,4.2,7.4,1.0
253bf280,8,8,75.0,2.0,75.0,2.75
25d487eb,3,3,158.0,3.0,158.0,3.0
25d8a9c8,4,4,9.0,3.0,9.0,2.0
25ff71a9,4,4,9.0,2.0,9.0,2.0
264363fd,3,3,900.0,4.333333333333333,900.0,4.333333333333333
