task_id,task_name,Correct(1) / Wrong(0)_1,Correct(1) / Wrong(0)_2,Correct(1) / Wrong(0)_3,Correct(1) / Wrong(0)_4,Correct(1) / Wrong(0)_5,Average_distance
0,007bbfb7,1,0,1,1,0,0.611981271
1,00d62c1b,1,1,1,1,1,0.923076923
2,017c7c7b,1,1,1,1,1,0.780719759
3,025d127b,0,0,0,0,0,0.800428639
4,045e512c,1,1,0,1,1,0.404364613
5,0520fde7,1,1,1,1,1,0.896959459
6,5269061,1,1,1,1,1,0.836153846
7,05f2a901,1,1,1,1,1,0.66155914
8,06df4c85,1,1,1,1,1,0.928571429
9,08ed6ac7,1,1,1,1,1,0.727407407
10,09629e4f,1,1,1,1,1,0.813791209
11,0962bcdd,0,1,0,1,0,0.736824291
12,0a938d79,1,1,1,0,1,0.880787873
13,0b148d64,1,1,1,1,1,0.703427128
14,0ca9ddb6,1,1,1,1,1,0.842642811
15,0d3d703e,1,1,1,1,1,0.799056565
16,0dfd9992,0,1,0,1,0,0.587732919
17,0e206a2e,1,1,1,1,1,0.888690476
18,10fcaaa3,1,0,0,0,1,0.510425437
19,11852cab,0,0,1,0,0,0.850698758
20,1190e5a7,1,1,1,1,1,0.940804598
21,137eaa0f,1,1,1,1,1,0.883116883
22,150deff5,1,1,1,1,1,0.759199134
23,178fcbfb,1,1,1,1,1,0.837903226
24,1a07d186,1,1,1,1,1,0.781136496
25,1b2d62fb,1,1,1,1,1,0.865079365
26,1b60fb0c,1,1,1,1,1,0.882307692
27,1bfc4729,0,1,0,1,1,0.956722689
28,1c786137,1,1,1,1,1,0.770541311
29,1caeab9d,1,1,1,1,1,0.815144533
30,1cf80156,1,1,1,1,1,0.775
31,1e0a9b12,1,1,1,1,1,0.88963964
32,1e32b0e9,1,1,1,1,1,0.907183908
33,1f0c79e5,1,1,1,1,1,0.889008755
34,1f642eb9,1,1,1,0,0,0.68883357
35,1f85a75f,1,1,1,1,1,0.748251748
36,1f876c06,1,1,1,1,1,0.843954248
37,1fad071e,1,1,0,1,1,0.916666667
38,2013d3e2,0,0,0,0,0,0.778333333
39,2204b7a8,1,1,1,1,1,0.791378205
40,22168020,1,1,1,1,1,0.69442876
41,22233c11,1,1,1,1,1,0.664970238
42,2281f1f4,1,1,1,1,0,0.818452381
43,228f6490,1,1,1,1,1,0.841410256
44,22eb0ac0,1,1,1,1,1,0.919264069
45,234bbc79,1,1,1,1,1,0.908496732
46,23581191,1,1,1,1,1,0.846198157
47,239be575,1,1,1,1,1,0.843873518
48,23b5c85d,1,0,0,1,1,0.799729102
49,253bf280,1,1,1,0,1,0.629329004
50,25d487eb,0,0,0,0,0,0.624183007
51,25d8a9c8,1,1,1,1,1,0.881711133
52,25ff71a9,0,0,0,0,0,0.8
53,264363fd,1,0,0,0,0,0.595057821
54,272f95fa,1,1,0,1,1,0.820616883
55,27a28665,0,0,0,0,0,0.94158361
56,28bf18c6,1,1,1,1,1,0.440789474
57,28e73c20,1,0,1,1,1,0.696380591
58,29623171,0,0,0,0,0,0.930397727
59,29c11459,1,1,1,1,1,0.790372671
60,29ec7d0e,1,1,1,1,1,0.924342105
61,2bcee788,1,1,1,1,1,0.851236264
62,2bee17df,0,0,0,0,0,0.509344012
63,2c608aff,1,1,1,1,1,0.903985507
64,2dc579da,1,1,1,1,1,0.802255639
65,2dd70a9a,1,1,1,1,1,0.860627798
66,2dee498d,1,1,1,1,1,0.655269608
67,31aa019c,0,0,0,0,0,0.471325814
68,321b1fc6,1,1,1,1,1,0.915804598
69,32597951,1,1,1,1,1,0.833552632
70,3345333e,0,0,0,0,0,0.808333333
71,3428a4f5,1,1,1,1,1,0.947463768
72,3618c87e,1,1,0,1,1,0.787055336
73,3631a71a,1,1,1,1,1,0.82846758
74,363442ee,1,0,0,1,0,0.828339921
75,36d67576,0,1,1,1,1,0.866666667
76,36fdfd69,1,1,1,1,1,0.723818277
77,3906de3d,1,0,1,0,0,0.856666667
