task_id,task_name,Average_distance
0,007bbfb7,0.437872393
1,00d62c1b,0.380536975
2,017c7c7b,0.258481646
3,025d127b,0.381465358
4,045e512c,0.296656977
5,0520fde7,0.377685493
6,5269061,0.475039138
7,05f2a901,0.37811943
8,06df4c85,0.513913043
9,08ed6ac7,0.341521836
10,09629e4f,0.409616276
11,0962bcdd,0.357847201
12,0a938d79,0.150705645
13,0b148d64,0.517030844
14,0ca9ddb6,0.312109114
15,0d3d703e,0.295891288
16,0dfd9992,0.29075267
17,0e206a2e,0.397916667
18,10fcaaa3,0.400448857
19,11852cab,0.344138905
20,1190e5a7,0.343758044
21,137eaa0f,0.653333333
22,150deff5,0.639151139
23,178fcbfb,0.392555275
24,1a07d186,0.200997603
25,1b2d62fb,0.75945495
26,1b60fb0c,0.328225806
27,1bfc4729,0.821266968
28,1c786137,0.465175953
29,1caeab9d,0.31875
30,1cf80156,0.358525934
31,1e0a9b12,0.301367521
32,1e32b0e9,0.552793865
33,1f0c79e5,0.436941931
34,1f642eb9,0.392839969
35,1f85a75f,0.602564103
36,1f876c06,0.402380952
37,1fad071e,0.655388471
38,2013d3e2,0.452696729
39,2204b7a8,0.349948423
40,22168020,0.277458493
41,22233c11,0.276943027
42,2281f1f4,0.261932572
43,228f6490,0.317159278
44,22eb0ac0,0.494849166
45,234bbc79,0.365163666
46,23581191,0.328571429
47,239be575,0.470935315
48,23b5c85d,0.686764706
49,253bf280,0.48389234
50,25d487eb,0.413659148
51,25d8a9c8,0.414614122
52,25ff71a9,0.384566489
53,264363fd,0.356324099
54,272f95fa,0.448115079
55,27a28665,0.404245611
56,28bf18c6,0.325083542
57,28e73c20,0.275270133
58,29623171,0.350276734
59,29c11459,0.269196429
60,29ec7d0e,0.372820513
61,2bcee788,0.367724518
62,2bee17df,0.226876809
63,2c608aff,0.529365079
64,2dc579da,0.392887205
65,2dd70a9a,0.346202791
66,2dee498d,0.461956522
67,31aa019c,0.285416667
68,321b1fc6,0.349052264
69,32597951,0.490530303
70,3345333e,0.564869281
71,3428a4f5,0.612417898
72,3618c87e,0.234600614
73,3631a71a,0.183414052
74,363442ee,0.418965998
75,36d67576,0.450980392
76,36fdfd69,0.227187154
77,3906de3d,0.329807692
78,39a8645d,0.35366839
79,39e1d7f9,0.744583333
80,3aa6fb7a,0.41374269
81,3ac3eb23,0.280997151
82,3af2c5a8,0.290371546
83,3bd67248,0.264522696
84,3bdb4ada,0.288724733
85,3befdf3e,0.413020352
86,3c9b0459,0.240947433
87,3de23699,0.598402758
88,3e980e27,0.329517488
89,3eda0437,0.384741903
90,3f7978a0,0.584577922
91,40853293,0.359400161
92,4093f84a,0.251805386
93,41e4d17e,0.266786676
94,4258a5f9,0.513888889
95,4290ef0e,0.247727273
96,42a50994,0.335120869
97,4347f46a,0.465555556
98,444801d8,0.283796035
99,445eab21,0.3421337
100,447fd412,0.279324867
101,44d8ac46,0.651994302
102,44f52bb0,0.508993506
103,4522001f,0.280106819
104,4612dd53,0.294396778
