task_id,task_name,Correct(1) / Wrong(0)_other,Correct(1) / Wrong(0)_other.1,Correct(1) / Wrong(0)_other.2,Correct(1) / Wrong(0)_other.3,Correct(1) / Wrong(0)_other.4,Average_distance
0,007bbfb7,1,1,1,1,1,0.173781622
1,00d62c1b,1,1,1,1,1,0.021404221
2,017c7c7b,0,1,1,0,0,0.085152251
3,025d127b,1,0,0,1,1,0.094046771
4,045e512c,1,1,1,1,1,0.37821226
5,0520fde7,1,1,1,1,1,0.050958025
6,5269061,1,1,1,1,1,0.125407422
7,05f2a901,1,1,1,1,1,0.382845188
8,06df4c85,0,1,1,1,1,0.045238095
9,08ed6ac7,1,0,0,0,0,0.140708812
10,09629e4f,1,1,1,1,1,0.087956675
11,0962bcdd,1,1,1,1,1,0.094314695
12,0a938d79,0,1,1,1,1,0.051345546
13,0b148d64,1,0,0,0,1,0.156639004
14,0ca9ddb6,0,1,1,1,1,0.092654818
15,0d3d703e,1,0,0,0,0,0.251470588
16,0dfd9992,0,0,1,0,1,0.271774828
17,0e206a2e,1,1,1,1,0,0.064319264
18,10fcaaa3,0,1,1,1,1,0.36958042
19,11852cab,1,0,0,0,0,0.101957494
20,1190e5a7,0,1,1,1,1,0.035840212
21,137eaa0f,1,0,0,0,1,0.06590217
22,150deff5,1,1,1,1,1,0.119574607
23,178fcbfb,1,1,1,1,0,0.104395447
24,1a07d186,0,1,1,1,1,0.174068023
25,1b2d62fb,1,0,1,0,0,0.062511664
26,1b60fb0c,0,1,0,1,0,0.042425411
27,1bfc4729,1,0,1,0,1,0.027581658
28,1c786137,1,0,1,0,1,0.099485019
29,1caeab9d,1,1,1,1,1,0.131530826
30,1cf80156,1,1,1,1,1,0.167325124
31,1e0a9b12,1,1,1,1,1,0.050595238
32,1e32b0e9,1,1,1,0,1,0.022643259
33,1f0c79e5,1,1,1,1,0,0.061764961
34,1f642eb9,1,0,1,1,1,0.130078113
35,1f85a75f,1,0,1,1,1,0.116700452
36,1f876c06,1,0,1,0,0,0.072388736
37,1fad071e,1,1,1,1,1,0.03540192
38,2013d3e2,1,1,1,1,1,0.071014241
39,2204b7a8,1,1,1,0,1,0.103293414
40,22168020,1,1,1,1,1,0.116239884
41,22233c11,1,1,1,1,1,0.196996467
42,2281f1f4,1,1,1,1,1,0.100395695
43,228f6490,1,1,1,1,1,0.069531887
44,22eb0ac0,1,1,1,1,1,0.056283032
45,234bbc79,1,1,1,1,1,0.038089096
46,23581191,1,1,1,1,0,0.087500312
47,239be575,1,1,0,1,1,0.116053785
48,23b5c85d,0,1,1,1,1,0.084686227
49,253bf280,1,0,1,0,0,0.201456311
50,25d487eb,1,1,0,1,1,0.171257771
51,25d8a9c8,0,1,1,1,0,0.112333845
52,25ff71a9,1,0,1,0,1,0.119561404
53,264363fd,0,1,1,1,1,0.206524371
54,272f95fa,1,1,0,0,0,0.066071104
55,27a28665,0,1,1,1,1,0.079363425
56,28bf18c6,1,0,0,0,1,0.334490741
57,28e73c20,0,0,1,0,1,0.106491718
58,29623171,1,1,1,1,0,0.023358071
59,29c11459,1,0,1,0,1,0.093123786
60,29ec7d0e,1,1,1,1,1,0.028247235
61,2bcee788,0,1,1,1,1,0.083487992
62,2bee17df,1,1,0,1,1,0.266048526
63,2c608aff,1,0,1,0,0,0.054148576
64,2dc579da,1,1,1,1,0,0.095588235
65,2dd70a9a,1,1,0,1,1,0.083876683
66,2dee498d,0,1,1,0,1,0.122958484
