task_id,task_name,Average_levenshtein_distance
0,007bbfb7,0.477313167
1,00d62c1b,0.42727629
2,017c7c7b,0.546641791
3,025d127b,0.451121795
4,045e512c,0.510613208
5,0520fde7,0.51930502
6,5269061,0.394970415
7,05f2a901,0.591666667
8,06df4c85,0.40925926
9,08ed6ac7,0.374914561
10,09629e4f,0.403389588
11,0962bcdd,0.567307692
12,0a938d79,0.680894309
13,0b148d64,0.288075723
14,0ca9ddb6,0.469400543
15,0d3d703e,0.61155914
16,0dfd9992,0.55349224
17,0e206a2e,0.4375
18,10fcaaa3,0.356145252
19,11852cab,0.574324324
20,1190e5a7,0.586575876
21,137eaa0f,0.152027027
22,150deff5,0.228174603
23,178fcbfb,0.517784436
24,1a07d186,0.651079137
25,1b2d62fb,0.153965579
26,1b60fb0c,0.551324503
27,1bfc4729,0.266331659
28,1c786137,0.381238766
29,1caeab9d,0.49137931
30,1cf80156,0.459731544
31,1e0a9b12,0.496047431
32,1e32b0e9,0.240208182
33,1f0c79e5,0.417582418
34,1f642eb9,0.364614336
35,1f85a75f,0.209764507
36,1f876c06,0.451754386
37,1fad071e,0.2
38,2013d3e2,0.35971223
39,2204b7a8,0.663793103
40,22168020,0.432762817
41,22233c11,0.623636364
42,2281f1f4,0.594827586
43,228f6490,0.488549619
44,22eb0ac0,0.475940198
45,234bbc79,0.420796066
46,23581191,0.537292818
47,239be575,0.460714286
48,23b5c85d,0.184052605
49,253bf280,0.276260504
50,25d487eb,0.320085188
51,25d8a9c8,0.394831753
52,25ff71a9,0.382870152
53,264363fd,0.443447038
54,272f95fa,0.423076923
55,27a28665,0.353128106
56,28bf18c6,0.428422619
57,28e73c20,0.503630705
58,29623171,0.615612648
59,29c11459,0.497264062
60,29ec7d0e,0.451342282
61,2bcee788,0.564516129
62,2bee17df,0.750605327
63,2c608aff,0.342356322
64,2dc579da,0.373161765
65,2dd70a9a,0.554216868
66,2dee498d,0.415730337
67,31aa019c,0.583657587
68,321b1fc6,0.483766234
69,32597951,0.416071429
70,3345333e,0.271015443
71,3428a4f5,0.236945419
72,3618c87e,0.458978918
73,3631a71a,0.633408072
74,363442ee,0.555865922
75,36d67576,0.380434783
76,36fdfd69,0.544836956
77,3906de3d,0.534351145
78,39a8645d,0.424092106
79,39e1d7f9,0.163076085
80,3aa6fb7a,0.361111111
81,3ac3eb23,0.461538462
82,3af2c5a8,0.565868264
83,3bd67248,0.57635468
84,3bdb4ada,0.619158879
85,3befdf3e,0.355602369
86,3c9b0459,0.655080214
87,3de23699,0.268219177
88,3e980e27,0.470493217
89,3eda0437,0.396539548
90,3f7978a0,0.225317156
91,40853293,0.515873016
92,4093f84a,0.585576923
93,41e4d17e,0.60755814
94,4258a5f9,0.279411765
95,4290ef0e,0.537828947
96,42a50994,0.508883249
97,4347f46a,0.356666667
98,444801d8,0.559523809
99,445eab21,0.501879699
100,447fd412,0.480032939
101,44d8ac46,0.215165284
102,44f52bb0,0.345833333
103,4522001f,0.556085919
104,4612dd53,0.547727273
105,46442a0e,0.587259101
106,469497ad,0.197642748
107,46f33fce,0.355633803
108,47c1f68c,0.432347978
109,484b58aa,0.492021277
110,48d8fb45,0.407786886
111,4938f0c2,0.415137615
112,496994bd,0.400111142
113,49d1d64f,0.418161435
114,4be741c5,0.529829546
115,4c4377d9,0.421597633
116,4c5c2cf0,0.583881579
117,50846271,0.559178744
118,508bd3b6,0.609913793
119,50cb2852,0.067537503
120,5.12E+65,0.428947369
121,5168d44c,0.389397004
122,539a4f51,0.796052632
123,53b68214,0.577586207
124,543a7ed5,0.390907019
125,54d82841,0.439849624
126,54d9e175,0.388614208
127,5521c0d9,0.532608696
128,5582e5ca,0.353515625
129,5614dbcf,0.588362069
130,56dc2b01,0.346057039
131,56ff96f3,0.521103896
132,57aa92db,0.249621212
133,5ad4f10b,0.135896916
134,5bd6f4ac,0.268143827
135,5c0a986e,0.491094158
136,5c2c9af4,0.733247423
137,5daaa586,0.544407895
138,60b61512,0.307692308
139,6150a2bd,0.57125
140,623ea044,0.426923077
141,62c24649,0.250850541
142,63613498,0.599604221
143,6430c8c4,0.522617555
144,6455b5f5,0.588114754
145,662c240a,0.471017105
146,67385a82,0.544217687
147,673ef223,0.410011802
148,6773b310,0.307139192
149,67a3c6ac,0.385714286
150,67a423a3,0.297464941
151,67e8384a,0.406337967
152,681b3aeb,0.377659575
153,6855a6e4,0.444078948
154,68b16354,0.262786836
155,694f12f3,0.477134146
156,6a1e5592,0.369980528
157,6aa20dc0,0.380361649
158,6b9890af,0.416666667
159,6c434453,0.412296942
160,6cdd2623,0.840675477
161,6cf79266,0.101094983
162,6d0160f0,0.460833334
163,6d0aefbc,0.416666666
164,6d58a25d,0.326460693
165,6d75e8bb,0.508680556
166,6e02f1e3,0.726666667
167,6e19193c,0.390350877
168,6e82a1ae,0.416697758
169,6ecd11f4,0.4
170,6f8cd79b,0.632420092
171,6fa7a44f,0.442460317
172,72322fa7,0.369505354
173,72ca375d,0.367088608
174,73251a56,0.590163935
175,7447852a,0.464488637
176,7468f01a,0.202898551
177,746b3537,0.567241379
178,74dd1130,0.302631579
179,75b8110e,0.493767313
180,760b3cac,0.427702276
181,776ffc46,0.565533981
182,77fdfe62,0.457446808
183,780d0b14,0.443925234
184,7837ac64,0.429878049
185,794b24be,0.564252336
186,7b6016b9,0.420212766
187,7b7f7511,0.474056604
188,7c008303,0.694731405
189,7ddcd7ec,0.451456311
190,7df24a62,0.680555556
191,7e0986d6,0.410123869
192,7f4411dc,0.118122413
193,7fe24cdd,0.570342205
194,80af3007,0.03626943
195,810b9b61,0.615957447
196,82819916,0.130408854
197,83302e8f,0.057928913
198,834ec97d,0.513264325
199,8403a5d5,0.118345562
200,846bdb03,0.499103943
201,855e0971,0.738486842
202,85c4e7cd,0.605450237
203,868de0fa,0.172547369
204,8731374e,0.506329114
205,88a10436,0.158783784
206,88a62173,0.318571429
207,8.90E+14,0.577132487
208,8a004b2b,0.445364239
209,8be77c9e,0.270961335
210,8d5021e8,0.348754538
211,8d510a79,0.614130435
212,8e1813be,0.710474308
213,8e5a5113,0.390916396
214,8eb1be9a,0.242216978
215,8efcae92,0.411157025
216,8f2ea7aa,0.588067705
217,90c28cc7,0.325520833
218,90f3ed37,0.2513656
219,913fb3ed,0.436604841
220,91413438,0.388613861
221,91714a58,0.333955224
222,9172f3a0,0.109051239
223,928ad970,0.108717713
224,93b581b8,0.243266388
225,941d9a10,0.251908397
226,94f9d214,0.639250814
227,952a094c,0.652173913
228,9565186b,0.409726741
229,95990924,0.579630757
230,963e52fc,0.413732394
231,97999447,0.334613577
232,97a05b5b,0.520044421
233,98cf29f8,0.560344828
234,995c5fa3,0.486143677
235,99b1bc43,0.329537665
236,99fa7670,0.473262032
237,9aec4887,0.473104137
238,9af7a82c,0.612313433
239,9d9215db,0.450575363
240,9dfd6313,0.367231639
241,9ecd008a,0.334210526
242,9edfc990,0.578125
243,9f236235,0.45021645
244,a1570a43,0.384954601
245,a2fd1cf0,0.553652968
246,a3325580,0.384864531
247,a3df8b1e,0.477713178
248,a416b8f3,0.478314087
249,a48eeaf7,0.439393939
250,a5313dff,0.343787451
251,a5f85a15,0.229327853
252,a61ba2ce,0.35982659
253,a61f2674,0.225543478
254,a64e4611,0.382870121
255,a65b410d,0.647495362
256,a68b268e,0.441532794
257,a699fb00,0.400537635
258,a740d043,0.081928863
259,a78176bb,0.356239558
260,a79310a0,0.458958021
261,a85d4709,0.621268657
262,a87f7484,0.396017699
263,a8c38be5,0.565957447
264,a8d7556c,0.407432132
265,a9f96cdd,0.492361111
266,aabf363d,0.285493827
267,aba27056,0.539099526
268,ac0a08a4,0.473880597
269,ae3edfdc,0.861541971
270,ae4f1146,0.337982308
271,aedd82e4,0.477034824
272,af902bf9,0.362306074
273,b0c4d837,0.31969992
274,b190f7f5,0.419270833
275,b1948b0a,0.337662338
276,b230c067,0.257265526
277,b27ca6d3,0.502294927
278,b2862040,0.292253521
279,b527c5c6,0.7125
280,b548a754,0.455882353
281,b60334d2,0.518181818
282,b6afb2da,0.424334741
283,b7249182,0.281463543
284,b775ac94,0.667647059
285,b782dc8a,0.51826484
286,b8825c91,0.447368421
287,b8cdaf2b,0.439732143
288,b91ae062,0.342983814
289,b94a9452,0.481557377
290,b9b7f026,0.226826208
291,ba26e723,0.429303556
292,ba97ae07,0.45427012
293,bb43febb,0.514705883
