task_id,task_name,shuffled_description1,shuffled_description2,shuffled_description3,shuffled_description4,shuffled_description5,answer
31,1e0a9b12,"To make the output, you have to...think of the grid as a blue field and as the colored squares as being objects fixed in space. Gravity is suddenly turned off and all of the block rise vertically to the top. That produces the correct output grid.","To make the output, you have to...think of the grid as a green field and as the colored squares as being objects fixed in space. Gravity is suddenly reversed and all of the block fall horizontally to the sides. That produces the correct output grid.","To make the output, you have to...think of the grid as a yellow field and as the colored squares as being objects floating in space. Gravity is suddenly turned off and all of the block rise vertically to the top. That produces the correct output grid.","To make the output, you have to...think of the grid as a red field and as the colored squares as being objects fixed in space. Gravity is suddenly turned off and all of the block scatter horizontally to the sides. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and as the colored squares as being objects floating in space. Gravity is suddenly turned on and all of the block fall vertically to the bottom. That produces the correct output grid.",5
86,3c9b0459,"To make the output, you have to...rotate the grid 90 degrees counterclockwise.","To make the output, you have to...rotate the grid 180 degrees clockwise.","To make the output, you have to...turn the grid upside down.","To make the output, you have to...rotate the grid 180 degrees counterclockwise.","To make the output, you have to...rotate the grid 90 degrees clockwise.",2
13,0b148d64,"To make the output, you have to...distinguish between four sections colored in random patterns, and among these, identify the one section that is colored differently. Afterward, copy only the differently colored section into the output grid.","To make the output, you have to...merge the four sections into one continuous pattern and then omit any sections that appear identical before copying the remaining sections into the output grid.","To make the output, you have to...differentiate between four sections colored uniformly, and among these, select the section that is colored uniformly. Then, copy the uniformly colored section into the output grid.","To make the output, you have to...combine the colors from all four sections and blend them uniformly across the output grid to create a single unified pattern.","To make the output, you have to...select the one section where no color differences exist and then paste the identical section repeatedly throughout the entire output grid.",1
96,42a50994,"To make the output, you have to...alter the input grid, identify which pixels are separated, and change the background colors of touching pixels to the foreground color.","To make the output, you have to...swap the input grid, group pixels that are disconnected, and change the background colors to yellow.","To make the output, you have to...erase the input grid, identify which pixels are isolated, and change the background colors of connected pixels to white.","To make the output, you have to...ignore the input grid, disconnect pixels that are isolated, and change the background colors of all pixels to white.","To make the output, you have to...copy the input grid, identify which pixels are connected or touching any other and change background colors of single pixels to the background color or black.",5
67,31aa019c,"To make the output, you have to...make the entire output grid white, then find the block in the input grid that is the only one of that color and place it in the top position in the output grid. Then surround that block with blocks of the dull blue-black color.","To make the output, you have to...make the entire output grid black. then find the block in the input grid that is the only one of that color and place it in the same position in the output grid. Then surround that block with blocks of the bright red-orange color.","To make the output, you have to...make the entire output grid gray, then find the block in the input grid that is the only one of that color and place it in the left position in the output grid. Then surround that block with blocks of the dull red-black color.","To make the output, you have to...make the entire output grid blue, then find the block in the input grid that is the only one of that color and place it in the bottom position in the output grid. Then surround that block with blocks of the dull red-brown color.","To make the output, you have to...make the entire output grid bright, then find the block in the input grid that is the only one of that color and place it in the opposite position in the output grid. Then surround that block with blocks of the light green color.",2
145,662c240a,"To make the output, you have to...replicate a non-diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are vertically connected in.","To make the output, you have to...ensure each grid is composed of three single-color grids which are perfectly disconnected.","To make the output, you have to...eliminate any symmetrical patterns within the grid.","To make the output, you have to...create a diagonally symmetrical 3x3 grid from the 9x3 grid.","To make the output, you have to...disassemble the 9x3 grid into three separate 3x3 grids.",1
234,995c5fa3,"To make the output, you have to...Identify the shapes of three objects from the input grid and determine their corresponding sizes. A 4x4 square is large, an object with a center hole is medium, an object indented on right and left sides is small, and an object indented at the bottom is tiny. Size each object from left to right in the input grid, filling the 3x3 output grid row by row from the top.","To make the output, you have to...Identify the shapes of three objects from the input grid and determine their corresponding colors. A 4x4 square is red, an object with a center hole is light blue, an object indented on right and left sides is green, and an object indented at the bottom is yellow. Color each object from left to right in the input grid, filling the 3x3 output grid row by row from the top.","To make the output, you have to...Select the sizes of three objects from the input grid and determine their corresponding weights. A 4x4 square is heavy, an object with a center hole is light, an object indented on right and left sides is medium, and an object indented at the bottom is weightless. Weight each object from left to right in the input grid, filling the 3x3 output grid row by row from the top.","To make the output, you have to...Identify the patterns of three objects from the input grid and determine their corresponding textures. A 4x4 square is smooth, an object with a center hole is rough, an object indented on right and left sides is bumpy, and an object indented at the bottom is jagged. Texture each object from left to right in the input grid, filling the 3x3 output grid row by row from the top.","To make the output, you have to...Count the colors of three objects from the input grid and determine their corresponding shapes. A red object is a 4x4 square, a light blue object has a center hole, a green object is indented on right and left sides, and a yellow object is indented at the bottom. Shape each object from left to right in the input grid, filling the 3x3 output grid row by row from the top.",2
273,b0c4d837,"To make the output, you have to...calculate the inside height of the U shape made of gray pixels. Subtract the height filled with light blue pixels from the original height of the U. Fill the 3x3 output grid with this difference in light blue pixels, starting from left to right on the top row, and right to left on the following rows.","To make the output, you have to...estimate the outside height of the U shape made of gray pixels. Add the width filled with light blue pixels to the original height of the U. Fill the 3x3 output grid with this sum in light blue pixels, starting from right to left on the top row, and left to right on the following rows.","To make the output, you have to...calculate the inside height of the U shape made of blue pixels. Subtract the width filled with yellow pixels from the original height of the U. Fill the 3x3 output grid with this difference in yellow pixels, starting from top to bottom on the left column, and bottom to top on the following columns.","To make the output, you have to...calculate the inside height of the U shape made of green pixels. Add the height filled with light blue pixels to the original height of the U. Fill the 3x3 output grid with this difference in light blue pixels, starting from left to right on the top row, and right to left on the following rows.","To make the output, you have to...measure the outside width of the U shape made of gray pixels. Multiply the height filled with pink pixels by the original width of the U. Fill the 3x3 output grid with this product in pink pixels, starting from right to left on the bottom row, and left to right on the following rows.",1
307,c8cbb738,"To make the output, you have to...separate groups of pixels of different colors while maintaining their shapes around a common center. The colors from the input grid must remain unchanged.","To make the output, you have to...combine groups of pixels of the same color while changing their shapes around an uncommon center. The colors from the input grid must change randomly.","To make the output, you have to...disassemble groups of pixels of different colors while maintaining their shapes around an uncommon center. The colors from the input grid must remain unchanged.","To make the output, you have to...combine groups of pixels of different colors while maintaining their shapes around a common center. The colors from the input grid must remain unchanged.","To make the output, you have to...scatter groups of pixels of different colors without maintaining their shapes around a common center. The colors from the input grid must be inverted.",4
331,d406998b,"To make the output, you have to...begin from the right-most column and replace the grey pixels in the even-numbered columns with yellow.","To make the output, you have to...begin from the right-most column and change the grey pixels in the odd-numbered columns with green.","To make the output, you have to...begin from the right-most column and keep the grey pixels in the odd-numbered columns unchanged.","To make the output, you have to...begin from the left-most column and change the grey pixels in the odd-numbered columns with red.","To make the output, you have to...begin from the left-most column and exchange the grey pixels in the even-numbered columns with blue.",2
