task_id,task_name,shuffled_description1,shuffled_description2,shuffled_description3,shuffled_description4,shuffled_description5,answer
31,1e0a9b12,"To make the output, you have to...think of the grid as a black field and as the colored squares as being objects falling. Gravity is suddenly turned off and all of the blocks stay in their original positions. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and as the colored squares as being objects floating in space. Gravity is suddenly turned on and all of the blocks fall horizontally to the left. That produces the correct output grid.","To make the output, you have to...think of the grid as a black field and as the colored squares as being objects floating in space. Gravity is suddenly turned on and all of the block fall vertically to the bottom. That produces the correct output grid.","To make the output, you have to...think of the grid as a clear field and as the colored squares as being objects attached to it. Gravity is suddenly turned off and the blocks float upward to the top. That produces the correct output grid.","To make the output, you have to...think of the grid as a white field and as the colored squares as being objects fixed in space. Gravity is suddenly turned off and all of the blocks rise vertically to the top. That produces the correct output grid.",3
86,3c9b0459,"To make the output, you have to...rotate the grid 180 degrees clockwise.","To make the output, you have to...rotate the grid 90 degrees clockwise.","To make the output, you have to...do not rotate the grid at all.","To make the output, you have to...rotate the grid 180 degrees counterclockwise.","To make the output, you have to...rotate the grid 90 degrees counterclockwise.",1
13,0b148d64,"To make the output, you have to...distinguish between four sections colored in uniform patterns, and among these, identify the one section that is colored the same. Afterward, copy only the same colored section into the output grid.","To make the output, you have to...distinguish between four sections colored in specific patterns, and among these, identify the one section that is colored differently. Afterward, remove the differently colored section from the output grid.","To make the output, you have to...distinguish between four sections colored in random patterns, and among these, identify the one section that is colored the same as the others. Afterward, copy only the non-unique section into the output grid.","To make the output, you have to...distinguish between four sections colored in random patterns, and among these, identify the one section that is colored similarly. Afterward, copy only the similarly colored section into the output grid.","To make the output, you have to...distinguish between four sections colored in random patterns, and among these, identify the one section that is colored differently. Afterward, copy only the differently colored section into the output grid.",5
96,42a50994,"To make the output, you have to...invert the input grid, separate disconnected pixels and change background colors of connected pixels to white.","To make the output, you have to...rotate the input grid, find which pixels are touching the edges and change diagonal pixels to black.","To make the output, you have to...copy the input grid, identify which pixels are connected or touching any other and change background colors of single pixels to the background color or black.","To make the output, you have to...delete the input grid, determine which pixels are isolated and change bound pixels to a single solid color.","To make the output, you have to...flip the input grid, identify which groups of pixels form shapes and change background clusters to a different color.",3
67,31aa019c,"To make the output, you have to...make the entire output grid black. Then identify the multiple blocks in the input grid that different colors and place them in the alternate positions in the output grid. Then surround those blocks with blocks of the dark blue color.","To make the output, you have to...make the entire output grid white. Then identify the block in the input grid that is the only one of that color and place it in a random position in the output grid. Then surround that block with blocks of the dull yellow color.","To make the output, you have to...make the entire output grid black. then find the block in the input grid that is the only one of that color and place it in the same position in the output grid. Then surround that block with blocks of the bright red-orange color.","To make the output, you have to...make the entire output grid black. Then remove the block in the input grid that is the only one of that color and place it in the opposite position in the output grid.","To make the output, you have to...make the entire output grid red. Then find the block in the input grid that is the only one of that size and place it in the same position in the output grid. Then surround that block with blocks of the bright green color.",3
145,662c240a,"To make the output, you have to...replicate a non-diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are vertically connected in.","To make the output, you have to...break down a diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed of 3 multi-color 3x3 grids, which are horizontally disconnected.","To make the output, you have to...construct diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed of 3 one-color 3x3 grids, which are horizontally joined together.","To make the output, you have to...create an asymmetrical 3x3 grid from a 9x3 grid. It is composed of 3 multi-tone 3x3 grids, which are vertically split apart.","To make the output, you have to...disassemble an intricately balanced 3x3 grid from a 9x3 grid. It is composed of 3 tri-color 3x3 grids, which are vertically spread out.",1
234,995c5fa3,"To make the output, you have to...Ignore the shapes of three objects from the input grid and remove their corresponding colors. A 4x4 square is black, an object with a center hole is dark blue, an object indented on right and left sides is purple, and an object indented at the bottom is white. Erase each object from left to right in the input grid, emptying the 3x3 output grid row by row from the top.","To make the output, you have to...Identify the shadows of three objects in the output grid and mix their corresponding colors. A 2x2 square is pink, an object with a solid center is turquoise, an object slanted on the right side is brown, and an object slanted at the top is salmon. Separate each object from bottom to top in the input grid, scattering across the 3x3 output grid column by column from the left.","To make the output, you have to...Identify the shapes of two objects from the output grid and determine their corresponding sizes. A 3x5 rectangle is orange, an object with no center hole is olive, an object indented on top and bottom sides is violet, and an object not indented is cyan. Rearrange each object from right to left in the input grid, placing them randomly in the 3x3 output grid.","To make the output, you have to...Identify the shapes of three objects from the input grid but ignore their colors. A 4x4 square is white, an object with a center hole is red, an object indented on right and left sides is dark green, and an object indented at the bottom is black. Color each object from right to left in the input grid, filling the 3x3 output grid column by column from the bottom.","To make the output, you have to...Identify the shapes of three objects from the input grid and determine their corresponding colors. A 4x4 square is red, an object with a center hole is light blue, an object indented on right and left sides is green, and an object indented at the bottom is yellow. Color each object from left to right in the input grid, filling the 3x3 output grid row by row from the top.",5
331,d406998b,"To make the output, you have to...begin from the right-most column and change the grey pixels in the odd-numbered columns with green.","To make the output, you have to...begin from the bottom row and change the grey pixels in the odd-numbered columns with yellow.","To make the output, you have to...begin from the left-most column and change the grey pixels in the even-numbered columns with red.","To make the output, you have to...begin from the top row and change the grey pixels in the even-numbered rows with blue.","To make the output, you have to...begin from the right-most column and change the grey pixels in the odd-numbered columns with green.",1
307,c8cbb738,"To make the output, you have to...split groups of pixels of different colors while disrupting their shapes around different centers. The colors from the input grid must change.","To make the output, you have to...detach portions of pixels of similar colors while disassembling their structures apart from a focal point. The colors from the input grid must vary.","To make the output, you have to...remove groups of pixels of uniform shades while altering their forms without a central point. The colors from the input grid must switch.","To make the output, you have to...separate clusters of pixels of matching colors while distorting their figures away from a shared center. The colors from the input grid must transform.","To make the output, you have to...combine groups of pixels of different colors while maintaining their shapes around a common center. The colors from the input grid must remain unchanged.",5
273,b0c4d837,"To make the output, you have to...calculate the outside height of the U shape made of gray pixels. Subtract the height filled with light blue pixels from the original height of the U. Fill the 3x3 output grid with this difference in light blue pixels, starting from left to right on the top row, and right to left on the following rows.","To make the output, you have to...copy the inside height of the U shape made of gray pixels. Add the height filled with light red pixels to the original height of the U. Fill the 3x3 output grid with this sum in light red pixels, starting from right to left on the top row, and left to right on the following rows.","To make the output, you have to...calculate the inside height of the U shape made of gray pixels. Subtract the height filled with light blue pixels from the original height of the U. Fill the 3x3 output grid with this difference in light blue pixels, starting from left to right on the top row, and right to left on the following rows.","To make the output, you have to...calculate the inside height of the T shape made of gray pixels. Subtract the height filled with light green pixels from the original height of the T. Fill the 3x3 output grid with this difference in light green pixels, starting from left to right on the bottom row, and right to left on the above rows.","To make the output, you have to...calculate the inside width of the U shape made of gray pixels. Subtract the width filled with light blue pixels from the original width of the U. Fill the 3x3 output grid with this difference in light blue pixels, starting from left to right on the top row, and right to left on the following rows.",3
