task_id,task_name,shuffled_description1,shuffled_description2,shuffled_description3,shuffled_description4,shuffled_description5,answer
31,1e0a9b12,"To make the output, you have to...think of the grid as a white field and as the squares as being objects floating in space.","To make the output, you have to...think of the grid as a black field and as the colored squares as being objects floating in space. Gravity is suddenly turned on and all of the block fall vertically to the bottom. That produces the correct output grid.","To make the output, you have to...think of the grid as a blank field and as the squares as being objects floating in water.","To make the output, you have to...make the colored squares rise vertically to the top as if gravity was turned upside down.","To make the output, you have to...have all the colored squares move horizontally to the right due to a wind blowing.",2
86,3c9b0459,"To make the output, you have to...rotate the grid 90 degrees clockwise.","To make the output, you have to...rotate the grid 90 degrees counterclockwise.","To make the output, you have to...rotate the grid 180 degrees counterclockwise.","To make the output, you have to...rotate the grid 180 degrees clockwise.","To make the output, you have to...flip the grid horizontally.",4
13,0b148d64,"To make the output, you have to...take all four sections and copy them into the output grid without any changes.","To make the output, you have to...switch the positions of any two sections and place them into the output grid.","To make the output, you have to...shuffle the four sections randomly and place them into the output grid.","To make the output, you have to...distinguish between four sections colored in random patterns, and among these, identify the one section that is colored differently. Afterward, copy only the differently colored section into the output grid.","To make the output, you have to...rotate the four sections by 90 degrees and place them into the output grid.",4
96,42a50994,"To make the output, you have to...copy the input grid, identify which pixels are touching each other, and change all other pixels to white.","To make the output, you have to...copy the input grid, identify which pixels form horizontal lines, and change their colors to red.","To make the output, you have to...copy the input grid, identify which pixels are connected in a diagonal fashion, and change their colors to the background color or white.","To make the output, you have to...copy the input grid, identify which pixels are connected or touching any other and change background colors of single pixels to the background color or black.","To make the output, you have to...copy the input grid, identify which pixels are isolated or not touching any other, and change their colors to any color other than black.",4
145,662c240a,"To make the output, you have to...replicate a non-diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are vertically connected in.","To make the output, you have to...reverse a non-diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 four-color 3x3 grids, which are vertically connected in.","To make the output, you have to...rotate a non-diagonally symmetrical 3x3 grid from a 3x9 grid. It is composed with 3 two-color 3x3 grids, which are horizontally connected in.","To make the output, you have to...create a diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 single-color 3x3 grids, which are vertically connected in.","To make the output, you have to...replicate a diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 four-color 3x3 grids, which are horizontally connected in.",1
307,c8cbb738,"To make the output, you have to...distribute groups of pixels of different colors evenly within the grid. The positions from the input grid must remain unchanged.","To make the output, you have to...combine groups of pixels of different colors while maintaining their shapes around a common center. The colors from the input grid must remain unchanged.","To make the output, you have to...combine groups of pixels of same colors while maintaining their shapes around a common center. The colors from the input grid must change.","To make the output, you have to...separate groups of pixels of different colors and scatter them randomly within the grid. The colors from the input grid must remain unchanged.","To make the output, you have to...arrange groups of pixels of different colors in a line from top left to bottom right. The shapes from the input grid must remain unchanged.",2
273,b0c4d837,"To make the output, you have to...copy the U shape of gray pixels into the output grid as is. Remove all light blue pixels from the input grid. Fill any remaining spaces in the 3x3 output grid with black pixels, starting from left to right on the top row, and right to left on the following rows.","To make the output, you have to...calculate the inside width of the U shape made of gray pixels. Subtract the height filled with light blue pixels from the original height of the U. Fill the 3x3 output grid with this difference in light blue pixels, starting from left to right on the top row, and right to left on the following rows.","To make the output, you have to...rotate the U shape of gray pixels by 90 degrees. Move the light blue pixels to form an L shape. Fill the 3x3 output grid with the light blue pixels, starting from left to right on the top row, and right to left on the following rows.","To make the output, you have to...calculate the inside height of the U shape made of gray pixels. Subtract the height filled with light blue pixels from the original height of the U. Fill the 3x3 output grid with this difference in light blue pixels, starting from left to right on the top row, and right to left on the following rows.","To make the output, you have to...invert the U shape of gray pixels so it faces downwards. Remove the light blue pixels from the U shape. Fill the 3x3 output grid with the removed light blue pixels, starting from left to right on the top row, and right to left on the following rows.",4
67,31aa019c,"To make the output, you have to...make the entire output grid black. Then find the block in the input grid that is the only one of that color and place it in the same position in the output grid. Then surround that block with blocks of the bright purple color.","To make the output, you have to...make the entire output grid white. Then find the block in the input grid that is the only one of that color and place it in the same position in the output grid. Then surround that block with blocks of the bright red-orange color.","To make the output, you have to...make the entire output grid black. then find the block in the input grid that is the only one of that color and place it in the same position in the output grid. Then surround that block with blocks of the bright red-orange color.","To make the output, you have to...make the entire input grid black. Then find the block in the input grid that is the only one of that color and place it in the opposite position in the output grid. Then surround that block with blocks of the bright red-orange color.","To make the output, you have to...make the entire output grid black. Then find the block in the output grid that is the only one of that color and place it in the same position in the input grid. Then surround that block with blocks of the dark blue color.",3
234,995c5fa3,"To make the output, you have to...Identify the shapes of four objects from the input grid and determine their corresponding colors. A 2x2 square is red, an object with no center hole is green, an object indented on top and bottom sides is yellow, and an object indented at the bottom is light blue. Color each object from left to right in the input grid, filling the 3x3 output grid column by column from the left.","To make the output, you have to...Identify the shapes of three objects from the input grid and determine their corresponding colors. A 4x4 square is green, an object with a center hole is yellow, an object indented on right and left sides is red, and an object indented at the bottom is light blue. Color each object from left to right in the input grid, filling the 3x3 output grid row by row from the top.","To make the output, you have to...Identify the shapes of three objects from the input grid and determine their corresponding colors. A 4x4 square is red, an object with a center hole is light blue, an object indented on right and left sides is green, and an object indented at the bottom is yellow. Color each object from left to right in the input grid, filling the 3x3 output grid row by row from the top.","To make the output, you have to...Identify the shapes of three objects from the input grid and determine their corresponding colors. A 3x3 square is light blue, an object with no center hole is yellow, an object indented on top and bottom sides is red, and an object indented at the left is green. Color each object from top to bottom in the input grid, filling the 3x3 output grid row by row from the top.","To make the output, you have to...Identify the shapes of four objects from the input grid and determine their corresponding colors. A 2x2 square is yellow, an object with a center hole is red, an object indented on right and left sides is light blue, and an object indented at the bottom is green. Color each object from top to bottom in the input grid, filling the 3x3 output grid row by row from the left.",3
331,d406998b,"To make the output, you have to...start from the right-most column and change the red pixels in the odd-numbered columns with green.","To make the output, you have to...start from the right-most column and change the grey pixels in the even-numbered columns with blue.","To make the output, you have to...begin from the right-most column and change the grey pixels in the odd-numbered columns with green.","To make the output, you have to...start from the bottom-most row and change the grey pixels in the odd-numbered rows with green.","To make the output, you have to...begin from the left-most column and change the green pixels in the even-numbered columns with grey.",3
